District,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb No.
Bishnupur,314,4726.68,0,26,20,723,517,0,0,793,2393
Chandel,113,110.41,0,0,0,18,1,0,0,1,133
Churachandpur,443,3240.77,0,124,11,714,117,0,0,658,2067
Imphal East,465,7186.27,9,86,422,1766,132,0,0,1108,3988
Imphal West,985,14626.4,12,242,56,3178,345,0,2,1841,6661
Jiribam,24,26.36,0,0,0,1,0,0,0,2,27
Kakching,366,1789.53,0,6,3,30,270,0,0,209,884
Kamjong,0,57.24,0,0,0,2,0,0,0,60,62
Kangpokpi,106,362.13,0,13,0,35,1,0,0,132,287
Noney,1,100.97,0,0,0,1,0,0,0,77,79
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,98,350.9,0,4,48,15,2,0,0,141,308
Tamenglong,82,168.15,0,10,2,20,2,0,0,97,213
Tengnoupal,56,72.62,0,0,0,1,1,0,0,24,82
Thoubal,356,6689.06,0,33,98,2406,112,0,0,848,3853
Ukhrul,22,402.18,0,8,0,20,1,0,0,281,332
