District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligibleunder PMAY O/S No.,Housing Loan Eligibleunder PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bishnupur,408,3272.9,374,6548.96,2,35.86,0,0,0,0,0,0
Chandel,59,677.51,86,1274.64,79,1681.91,0,0,0,0,0,0
Churachandpur,335,3683.83,1178,21922.09,759,14722.8,0,0,0,0,0,0
Imphal East,1075,6269.48,752,14700.72,438,10023.6,88,956.34,0,0,88,956.34
Imphal West,2937,22612.79,3978,70364.12,197,3909.44,74,952.36,0,0,59,633.44
Jiribam,3,23.69,7,106.09,0,0,0,0,0,0,0,0
Kakching,137,1871.12,296,5671.87,5,134.68,0,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,70,923.65,263,3806.16,174,3880.91,0,0,0,0,0,0
Noney,2,61.63,0,0,2,61.63,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,158,2136.78,503,8348.97,363,9089.41,0,0,0,0,0,0
Tamenglong,8,95.78,8,170.54,0,0,0,0,0,0,0,0
Tengnoupal,47,595.57,75,1316.34,61,1318.92,0,0,0,0,0,0
Thoubal,381,4417.66,623,10308.04,98,1869.35,10,188.78,0,0,11,205.27
Ukhrul,13,97.56,11,382.83,0,0,0,0,0,0,0,0
