district,Smalland Marginal Farmers No,Amt,Scheduled Castes No,Scheduled Tribes No,DRI scheme No,Self Help Groups No,womenbeneficiaries No,Minoritycommunities No,PMJDY No,Others No,Tot Weaker Sec O/S No
Bishnupur,9169,15539.15,626,110,0,496,9079,608,44,755,20887
Chandel,147,1261.63,0,350,0,1,94,280,0,17,889
Churachandpur,4608,29578.83,29,2998,0,271,987,3449,243,82,12667
Imphal East,7744,23842.03,107,805,0,993,16872,863,84,878,28346
Imphal West,23448,66526.19,577,1854,6,793,16668,1401,2617,1159,48523
Jiribam,213,777.89,41,30,0,37,1424,1,0,0,1746
Kakching,3127,11300.81,1353,147,0,293,5845,121,0,73,10959
Kamjong,0,27.67,0,0,0,0,0,15,0,0,15
Kangpokpi,973,7435.76,103,1104,0,35,270,844,1,16,3346
Noney,585,2835.83,4,807,4,65,284,853,1,1,2604
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,2596,10839.37,0,865,0,84,906,2176,0,35,6662
Tamenglong,1657,8937.99,0,226,22,5,95,431,4,3,2443
Tengnoupal,857,4636.47,15,1037,0,197,418,854,3,74,3455
Thoubal,7488,17380.53,221,200,1,826,12764,1779,213,465,23957
Ukhrul,1787,9237.28,0,1294,0,74,230,294,0,83,3762
