district,ATM,Total ATM,BRANCH,Total Branch,B/C Total,B/C Fix,B/C Other
Bishnupur,3,14,4,22,344,309,35
Chandel,4,4,4,4,28,28,0
Churachandpur,30,34,19,22,356,315,41
Imphal East,15,27,25,38,519,484,32
Imphal West,7,221,10,75,3586,559,3023
Jiribam,0,1,4,5,31,24,7
Kakching,2,17,2,11,73,38,33
Kamjong,1,1,1,2,3,3,0
Kangpokpi,11,11,13,13,13,8,3
Noney,1,1,6,6,19,19,0
Pherzawl,0,0,0,0,6,4,2
Senapati,15,15,14,16,30,15,15
Tamenglong,0,2,2,5,33,23,10
Tengnoupal,4,7,4,7,20,10,10
Thoubal,2,31,8,21,623,572,49
Ukhrul,4,9,4,8,36,20,16
