District,Bank Name,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Pct,Total Msme (PS),Tot Msme (PS) NPA,Msme NPA Amt,Total Other PS O/S,Tot Other (PS) NPA,Other (PS) NPA,Total PS O/S,Total PSA NPA
Bishnupur,,11282,1322,9.57,4570,1939,22.68,3790,2624,15.59,19642,5885
Chandel,,250,124,53.22,458,142,23.62,122,5,0.28,830,271
Churachandpur,,4455,1160,18.22,2664,785,13.44,643,106,2.11,7762,2051
Imphal East,,9846,1795,12.56,9662,3830,15.2,10458,6848,17.6,29966,12473
Imphal West,,24092,11224,19.4,20534,6980,13.7,10184,4309,5.25,54810,22513
Jiribam,,150,32,6.4,298,84,13.09,701,179,23.3,1149,295
Kakching,,3589,863,16.21,4043,2187,23.61,1958,1540,19.18,9590,4590
Kamjong,,69,5,17.89,39,4,13.46,0,0,,108,9
Kangpokpi,,1304,269,11.03,1295,382,21.4,171,17,2.87,2770,668
Noney,,629,152,14.73,376,100,18.2,3,0,0,1008,252
Pherzawl,,0,0,,0,0,,0,0,,0,0
Senapati,,2495,604,23.54,1728,427,12.15,617,170,1.69,4840,1201
Tamenglong,,306,145,33.07,522,172,17.92,16,0,0,844,317
Tengnoupal,,761,114,11.73,1149,295,28.35,56,1,0.66,1966,410
Thoubal,,8782,1029,8.58,6777,2655,19.77,7286,4241,15.53,22845,7925
Ukhrul,,899,349,35.09,1069,368,26.63,261,45,10.39,2229,762
