district,Bank Name,Sep-I,Sep-G,Sep-G No. of,SHG,SHG No. of,Women SHG,Women SHG No.,Total Current Year,NULM O/S,NULM NPA,NULM NPA Amt. %
Bishnupur,,0,0,0,2,20,2,20,2,15,0,0
Chandel,,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,,0,0,0,0,0,0,0,0,5,4,86.22
Imphal East,,0,0,0,2,20,2,20,2,16,2,22.63
Imphal West,,1,0,0,1,10,1,10,2,55,18,26.84
Jiribam,,0,0,0,0,0,0,0,0,5,2,61.13
Kakching,,0,0,0,0,0,0,0,0,13,9,44.18
Kamjong,,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,0,0,0,0,0,0,0,0,23,0,0
Noney,,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,0,0,0,0,0,0,0,0,4,2,67.63
Tamenglong,,0,0,0,0,0,0,0,0,3,2,77.78
Tengnoupal,,0,0,0,0,0,0,0,0,0,0,0
Thoubal,,0,0,0,16,160,16,160,16,78,2,0.64
Ukhrul,,0,0,0,0,0,0,0,0,21,15,85.93
