district,Bank Name,Crop Loan No,Amt,Forestry and wasteland No,Amt,Water Resource No,Amt,Farm mechanization No,Amt,Plantation & horticulture No,Amt,Animal Husbandry No,Amt,Fishery No,Amt,Farm Credit Others No,Amt,Agri. Infrastructur No,Amt,Ancillary Activities No,Amt,Tot Agri (PS) Disb No,Amt
Bishnupur,,1935,5175.31,91,5175.31,0,5175.31,244,5175.31,0,5175.31,56,5175.31,47,5175.31,1042,5175.31,0,5175.31,203,5175.31,3618,5175.31
Chandel,,20,30.94,0,30.94,0,30.94,6,30.94,0,30.94,37,30.94,2,30.94,0,30.94,0,30.94,0,30.94,65,30.94
Churachandpur,,445,1866,0,1866,0,1866,584,1866,0,1866,36,1866,4,1866,33,1866,1,1866,23,1866,1126,1866
Imphal East,,920,6042.93,191,6042.93,0,6042.93,745,6042.93,0,6042.93,242,6042.93,10,6042.93,997,6042.93,0,6042.93,278,6042.93,3383,6042.93
Imphal West,,2087,25492.21,234,25492.21,0,25492.21,1986,25492.21,0,25492.21,217,25492.21,56,25492.21,2983,25492.21,26,25492.21,408,25492.21,7997,25492.21
Jiribam,,4,12.31,0,12.31,0,12.31,0,12.31,0,12.31,5,12.31,0,12.31,1,12.31,0,12.31,0,12.31,10,12.31
Kakching,,356,1783.53,0,1783.53,0,1783.53,1,1783.53,0,1783.53,140,1783.53,83,1783.53,432,1783.53,0,1783.53,73,1783.53,1085,1783.53
Kamjong,,28,24.19,0,24.19,0,24.19,0,24.19,0,24.19,0,24.19,0,24.19,0,24.19,0,24.19,0,24.19,28,24.19
Kangpokpi,,68,116.22,0,116.22,0,116.22,0,116.22,0,116.22,21,116.22,0,116.22,9,116.22,0,116.22,12,116.22,110,116.22
Noney,,64,78.28,0,78.28,0,78.28,0,78.28,0,78.28,1,78.28,0,78.28,0,78.28,0,78.28,4,78.28,69,78.28
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,521,454.2,2,454.2,0,454.2,13,454.2,0,454.2,42,454.2,3,454.2,10,454.2,0,454.2,25,454.2,616,454.2
Tamenglong,,27,46.18,0,46.18,0,46.18,3,46.18,0,46.18,14,46.18,0,46.18,2,46.18,0,46.18,2,46.18,48,46.18
Tengnoupal,,47,100.58,0,100.58,0,100.58,0,100.58,0,100.58,19,100.58,0,100.58,48,100.58,0,100.58,8,100.58,122,100.58
Thoubal,,1102,6539.38,143,6539.38,0,6539.38,759,6539.38,0,6539.38,72,6539.38,36,6539.38,1821,6539.38,0,6539.38,145,6539.38,4078,6539.38
Ukhrul,,161,180.83,0,180.83,0,180.83,3,180.83,0,180.83,23,180.83,1,180.83,9,180.83,0,180.83,1,180.83,198,180.83
