District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,137,321.72,963,1883.28,34,124.52,367,1566.01
Chandel,4,33.63,37,110.83,43,31.61,441,798.05
Churachandpur,16,39.4,143,488.4,347,2112.87,5697,21954.62
Imphal East,28,136.49,359,819.65,98,520.84,1200,6424.58
Imphal West,157,706.57,1491,4390.68,335,2484.82,11330,27381.48
Jiribam,2,16.66,67,149.54,5,39.44,128,375.92
Kakching,359,2008.76,2723,9279.88,27,192.89,424,1433.29
Kamjong,0,0,4,25.71,34,18.77,112,137.44
Kangpokpi,20,17.73,164,633.04,82,357.08,1498,3320.06
Noney,0,0,12,38.47,8,33.31,828,997.37
Pherzawl,0,0,0,0,0,0,0,0
Senapati,2,7.15,59,174.39,130,749.37,1747,4303.45
Tamenglong,0,0,8,17.43,174,1712.26,1790,8049.78
Tengnoupal,4,8.73,69,275.59,38,159.07,1387,2533.67
Thoubal,34,124.59,329,936.54,25,64.8,362,1112.19
Ukhrul,5,35.75,23,122.55,270,1372.21,2847,8421.23
