District,Bank Name,Micro Tl No.,Amt,Micro Wc No.,Small Tl No.,Small Wc No.,Medium Tl No.,Medium Wc No.,KVIC No.,Othersunder No.,Clf No.,Tot Msme (PS) Disb No.
Bishnupur,,528,1479,77,6,2,0,0,3,0,10,626
Chandel,,116,69.65,5,0,0,0,0,0,1,,122
Churachandpur,,357,5720.94,116,8,16,1,0,3,0,7,508
Imphal East,,946,7557.03,283,23,18,2,2,13,0,8,1295
Imphal West,,2243,53601.06,771,166,91,11,3,22,2,,3309
Jiribam,,11,130.77,3,1,1,0,0,0,0,,16
Kakching,,575,2570.13,36,32,25,0,1,0,0,,669
Kamjong,,10,36.36,2,0,0,0,0,0,0,13,25
Kangpokpi,,113,522.41,31,4,0,0,0,0,0,,148
Noney,,10,77.65,13,0,0,0,0,0,0,,23
Pherzawl,,0,0,0,0,0,0,0,0,0,,0
Senapati,,172,1569.09,63,6,6,0,0,0,1,,248
Tamenglong,,31,237.1,26,3,1,0,0,0,0,,61
Tengnoupal,,107,109.2,36,0,1,0,1,0,0,,145
Thoubal,,334,2538.46,131,6,8,0,2,4,0,,485
Ukhrul,,245,794.67,27,0,1,0,0,3,1,10,287
