District,No. of KCC issuedduringquarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amt,Numberofrupaycard Issued,KCC Cardactivated,No. of KCC foranimalhusbandaryissuedduringquarter (Including renewal),KCC foranimalhusbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount,AH Numberofrupaycard Issued,AH Cardactivated,No. of KCC for Fishriesissuedduringquarter (including renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount,Fishery Numberofrupaycard Issued,Fishery Cardactivated
Bishnupur,1205,815.78,4959,2663.73,2655,2615,76,66.24,341,290.69,208,207,116,41.39,202,200.36,70,70
Chandel,0,0,100,46.42,3,2,18,10.66,101,77.27,6,6,0,0,3,2.83,0,0
Churachandpur,238,264.67,2015,1229.61,1532,987,28,33.37,245,308.56,79,79,9,16.5,42,72.98,3,3
Imphal East,882,781.42,3387,2800.53,1633,1561,283,194.46,662,568.95,247,246,7,11.09,18,32.04,6,6
Imphal West,871,1197.69,12721,10802.58,4349,3674,512,372.99,763,644.25,535,534,32,24.57,62,72.64,29,29
Jiribam,2,1,67,30.69,20,14,0,0,12,11.1,8,8,0,0,6,4.71,0,0
Kakching,258,222.81,1079,1078.15,782,739,65,48.85,380,285.06,235,233,86,54.26,208,316.3,101,101
Kamjong,12,10.96,42,37.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,10,39.88,930,538.04,675,410,9,8.24,76,57.32,40,40,0,0,13,9.67,13,13
Noney,54,46.05,249,219.2,110,110,5,3.31,5,3.12,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,267,212.64,1611,783.42,790,623,37,11.78,73,30.35,7,7,3,0.17,3,0.93,0,0
Tamenglong,4,5.69,129,93.87,8,8,14,11.85,54,58.98,0,0,0,0,10,11.97,0,0
Tengnoupal,29,13.2,164,74.71,63,55,41,24.51,86,60.74,5,3,3,1.8,3,7.54,0,0
Thoubal,916,568.47,3142,1945.71,1676,1628,217,175.55,421,321.24,245,224,45,33.5,95,90.59,27,27
Ukhrul,105,49.75,504,330.07,163,161,21,9.87,32,36.13,0,0,0,0,1,1.08,0,0
