district,Current Year Self- Help Group No.,Current Year Self- Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
Bishnupur,19,79.67,56,53.72,0,0,8,3.64,6.78
Chandel,0,0,2,0.07,0,0,2,0.07,100
Churachandpur,87,394.96,253,232.29,8,0.57,93,21.43,9.23
Imphal East,297,303.8,950,1014,3,1.9,64,43.96,4.34
Imphal West,193,252.13,525,446.74,9,7.92,50,38.13,8.54
Jiribam,0,0,11,1.13,0,0,0,0,0
Kakching,18,37.5,95,104.28,0,0,4,2.39,2.29
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,5,0.22,11,11.99,0,0,0,0,0
Noney,8,12,25,17.67,0,0,5,2.28,12.9
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,15,38.72,34,55.89,7,11.75,1,0.48,0.86
Tamenglong,0,0,4,0.71,0,0,4,0.71,100
Tengnoupal,44,119.59,175,233.79,4,4.84,16,19.1,8.17
Thoubal,189,266.28,578,762.82,26,29.33,39,26.11,3.42
Ukhrul,1,6,4,3.51,1,2.03,1,0.11,3.13
