district,Bank Name,Inactive CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenticated SB accounts,RuPaycardissuedin KCC
Bishnupur,BOB,6,147168,34805,182728,2259
Chandel,BOI,2,5308,3234,20083,3
Churachandpur,BOM,14,63274,25084,158070,1449
Imphal East,CAN,17,169481,27788,183398,1190
Imphal West,CBI,1262,183474,60447,447147,3111
Jiribam,IND,0,88912,152,27070,24
Kakching,IOB,1,89940,18258,92067,762
Kamjong,PNB,0,1484,1280,3944,0
Kangpokpi,PSB,121,13897,14641,49759,530
Noney,SBI,0,5743,4690,6870,89
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,5,62124,13381,67309,231
Tamenglong,Total,0,130974,2261,27310,8
Tengnoupal,AXIS,1,27923,4467,22687,107
Thoubal,BAND,25,86522,33136,177805,1426
Ukhrul,HDFC,4,104839,9571,88889,183
