district,Bank Name,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Bishnupur,BOB,46,97.15,195,314.39
Chandel,BOI,0,0,1,0.85
Churachandpur,BOM,6,2.1,21,47.01
Imphal East,CAN,97,244.93,1781,1588.11
Jiribam,IND,0,0,0,0
Kakching,IOB,4,10.02,30,57.48
Kamjong,PNB,0,0,0,0
Kangpokpi,PSB,0,0,11,10.22
Noney,SBI,0,0,0,0
Pherzawl,UCO,0,0,0,0
Senapati,UNI,2,3.56,32,42.16
Tamenglong,Total,0,0,0,0
Tengnoupal,AXIS,0,0,0,0
Thoubal,BAND,131,303.19,925,1071.46
Ukhrul,HDFC,16,22.6,18,32.34
