District,Enrolmentunder PMJJBY,eligible cases under PMJJBY,renewalsunder PMJJBY,Enrolmentunder PMSBY,eligible cases under PMSBY,renewalsunder PMSBY,Enrolmentunder APY,Total Enrolment No.
Bishnupur,25043,126285,5471,163740,200144,17551,11045,199828
Chandel,3639,21402,2088,24251,33562,4984,1024,28914
Churachandpur,25920,138777,8079,88930,207881,23251,6867,121717
Imphal East,31809,161314,10771,81733,242627,38697,11175,124717
Imphal West,81227,410519,20799,172751,615293,69703,26754,280732
Jiribam,4584,30959,796,12973,40509,484,3041,20598
Kakching,16250,85897,4256,28224,135056,15167,3914,48388
Kamjong,1166,3369,422,955,5623,824,104,2225
Kangpokpi,14080,35368,7032,6501,54918,11613,621,21202
Noney,1478,11551,1220,5333,15096,3472,735,7546
Pherzawl,0,0,0,0,0,0,0,0
Senapati,18943,72291,5618,13690,104995,14952,2124,34757
Tamenglong,4041,41407,379,17930,52661,1059,3591,25562
Tengnoupal,10126,26460,2560,7592,38391,6484,1295,19013
Thoubal,22578,128307,8233,42776,212573,24580,7319,72673
Ukhrul,14509,84058,3669,12570,123697,8712,3209,30288
