district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,359,108.58,125,254.34,78,573.43,562,936.35
Chandel,1,0.5,32,61.13,3,24,36,85.63
Churachandpur,38,8.35,116,378.91,61,498.24,215,885.5
Imphal East,866,297.75,433,925.5,122,697.83,1421,1921.08
Imphal West,1159,330.57,785,1798.31,252,1791.55,2196,3920.43
Jiribam,31,11.01,23,26.3,2,17,56,54.31
Kakching,83,23.9,172,272.85,34,178.6,289,475.35
Kamjong,7,2.85,2,5.96,1,10,10,18.81
Kangpokpi,8,2.21,156,402.47,25,205.83,189,610.51
Noney,3,1.4,35,65.97,6,52.7,44,120.07
Pherzawl,0,0,0,0,0,0,0,0
Senapati,19,4.7,172,571.48,92,732.46,283,1308.64
Tamenglong,3,1.4,62,143.84,9,71.52,74,216.76
Tengnoupal,9,2.46,50,108.29,2,20,61,130.75
Thoubal,682,258.35,211,384.21,31,233.73,924,876.29
Ukhrul,7,3.5,56,149.48,15,100.07,78,253.05
