District,Export Credit No.,Amt,Education (PS) No.,Housing (PS) No.,Social No.,Renewable Energy No.,Informal Credit No.,Total Other PS Disb No.,Loanstoweaker No.
Bishnupur,0,3853.94,4,70,0,0,235,309,2367
Chandel,0,108.99,3,2,0,0,41,46,142
Churachandpur,0,6122.45,18,8,0,0,25,51,1552
Imphal East,0,4503.85,35,527,0,0,579,1141,2876
Imphal West,0,15805.88,186,866,0,1,427,1480,5662
Jiribam,0,112.26,0,0,0,0,1,1,37
Kakching,0,2589.9,9,4,0,0,30,43,1100
Kamjong,0,4.96,0,0,0,0,0,0,4
Kangpokpi,0,741.87,6,1,0,0,0,7,330
Noney,0,190.12,0,0,0,0,0,0,68
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,0,2701.87,7,4,0,0,198,209,1093
Tamenglong,0,3303.46,3,1,0,0,0,4,401
Tengnoupal,0,269.39,0,0,0,0,2,2,110
Thoubal,0,3533.5,20,25,0,0,664,709,2728
Ukhrul,0,2547.97,4,2,0,0,35,41,468
