District,Micro No.,Amt,Small No.,Medium No.,Other Msme No.,Msme Total O/S No.
Bishnupur,4286,6390.57,71,0,213,4570
Chandel,456,381.08,0,0,2,458
Churachandpur,2550,10670.26,96,1,17,2664
Imphal East,9383,22216.7,206,48,25,9662
Imphal West,18329,101878.8,761,45,1399,20534
Jiribam,280,365.13,18,0,0,298
Kakching,3768,5282.4,272,3,0,4043
Kamjong,39,54.03,0,0,0,39
Kangpokpi,1275,3174.11,14,0,6,1295
Noney,375,454.12,0,0,1,376
Pherzawl,0,0,0,0,0,0
Senapati,1545,5393.55,95,0,88,1728
Tamenglong,495,950.37,27,0,0,522
Tengnoupal,1085,1406.52,60,1,3,1149
Thoubal,6518,11925.3,50,4,205,6777
Ukhrul,1007,1953.84,57,3,2,1069
