district,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bishnupur,1,14.6,0,0,0,0,1,14.6,2,43.8,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,3,0,0,0,9,198,12,198,31,635.1,1,28.18,4.44
Imphal East,12,186.37,6,5.79,4,17.22,22,209.38,55,624.88,3,39.75,6.36
Imphal West,16,333.29,8,107.72,4,5.51,28,446.52,94,1667.66,19,181.04,10.86
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,5,58.36,0,0,0,0,5,58.36,15,156.55,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,6,122.35,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,3,55,0,0,5,118.4,8,173.4,33,558.02,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,18,112.53,1,14.85,13.2
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
