district,Sanctioned No,ofwhichgirlstudent Sanctioned No,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No,Disb. Amt,ofwhichgirlstudent Disb Amt,OS No,ofwhichgirlstudent OS No,OS amt,ofwhichgirlstudent OS Amt
Bishnupur,5,3,9.48,8.27,5,3,4.59,3.63,25,8,76.93,16.75
Chandel,1,1,0.83,0.83,3,2,3.25,1.38,8,6,20.67,12.24
Churachandpur,14,11,45.68,34.54,19,14,46.16,38.76,82,60,250.31,196.35
Imphal East,29,20,150.72,83.82,43,25,128.97,86.63,148,76,710.76,400.44
Imphal West,133,63,1214.15,597.84,223,114,955.45,529.46,704,326,4049.8,2180.8
Jiribam,0,0,0,0,0,0,0,0,1,1,0.58,0.58
Kakching,3,2,12.5,5,9,5,11.1,4.11,26,11,76.42,33.63
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,1,1,1.23,1.23,8,5,16.82,11.59,20,13,145.85,93.89
Noney,0,0,0,0,0,0,0,0,1,1,5.41,5.41
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2,0,7.2,0,7,2,14.51,3.36,59,28,235.11,108.54
Tamenglong,0,0,0,0,3,3,1.17,1.17,9,7,23.16,16.68
Tengnoupal,0,0,0,0,0,0,0,0,6,1,23.94,14.46
Thoubal,37,14,109.66,30.38,20,10,35.33,15.36,67,25,252.54,99.33
Ukhrul,3,3,4.87,4.87,4,4,6.73,6.73,9,5,18.81,13
