district,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bishnupur,303,40.08,14,19.41,468,43.82,20,29.87,300,281.95,67,36.54,12.96
Chandel,136,5.78,0,0,136,5.78,0,0,2,0.07,2,0.07,100
Churachandpur,1255,58.82,20,38.28,1293,59.9,78,106.63,285,344.9,101,28.54,8.27
Imphal East,119,10.5,58,133.08,203,18.95,124,289.45,337,343.16,41,22.15,6.45
Imphal West,629,162.83,84,147.5,986,198.56,162,265.46,325,385.46,90,77.5,20.11
Jiribam,26,0.32,0,0,42,0.51,1,1.5,50,24.13,1,0.33,1.37
Kakching,282,84.18,18,37.5,340,85.42,84,84.96,152,163.33,16,8.15,4.99
Kamjong,139,3.08,0,0,139,3.08,0,0,0,0,0,0,0
Kangpokpi,189,7.29,0,0,204,7.58,6,2.61,37,31.54,25,21.68,68.74
Noney,115,4.81,8,12,133,6.89,8,12,40,44.18,13,13.16,29.79
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,436,30.24,2,8.68,476,31.05,12,58.59,96,209.29,1,0.48,0.23
Tamenglong,85,7.37,2,5.36,100,7.53,2,5.36,13,12.05,6,0.85,7.05
Tengnoupal,188,8.6,18,36,190,8.67,46,111.39,66,130.73,0,0,0
Thoubal,428,72.19,60,107.18,555,74.74,157,260.82,391,480.34,58,20.05,4.17
Ukhrul,53,0.64,5,12.03,181,4.19,5,12.03,125,170.38,102,150.17,88.14
