District,Sishu O/S No.,Amt,Sishu NPA No.,Kishore O/S No.,Kishore NPA No.,Tarun O/S No.,Tarun NPA No.,Total MUDRA No.,MUDRA NPA
Bishnupur,3917,2126.36,2539,3703,1978,251,13,4530,33
Chandel,262,238.76,110,378,156,11,5,271,34.14
Churachandpur,1062,934.82,410,1367,417,264,36,863,22.21
Imphal East,11639,3627.83,7601,6256,2314,761,130,10045,27.05
Imphal West,12760,5882.28,6837,8506,3096,1675,390,10323,26.45
Jiribam,559,122.43,96,1205,226,19,1,323,21.62
Kakching,2351,1978.11,1662,3688,2308,145,17,3987,43.16
Kamjong,79,64.31,55,52,36,2,0,91,55.36
Kangpokpi,342,683.13,110,691,239,124,30,379,27.42
Noney,132,177.69,75,618,123,12,0,198,19.27
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,408,1010.94,248,1604,602,316,28,878,19.41
Tamenglong,101,121.31,43,410,80,39,2,125,13.69
Tengnoupal,360,459.21,99,1214,296,41,20,415,26.23
Thoubal,8239,2753.28,4673,4563,2116,347,35,6824,30.12
Ukhrul,166,403.94,66,784,273,73,17,356,26.02
