district,NRLM O/S No,Amt,NRLM Irregular No,NRLM NPA No,NULM O/S No,NULM NPA No,PMEGP O/S No,PMEGP NPA No,SHG O/S No,SHG NPA No,SUI O/S No,SUI NPA No
Bishnupur,56,0,0,8,15,0,794,391,300,67,2,0
Chandel,2,0,0,2,0,0,261,111,2,2,0,0
Churachandpur,253,28.18,8,93,5,4,670,275,285,101,31,1
Imphal East,950,39.75,3,64,16,2,917,326,337,41,55,3
Imphal West,525,181,9,50,55,18,2773,1510,325,90,94,19
Jiribam,11,0,0,0,5,2,14,8,50,1,0,0
Kakching,95,0,0,4,13,9,243,119,152,16,15,0
Kamjong,0,0,0,0,0,0,44,28,0,0,0,0
Kangpokpi,11,0,0,0,23,0,273,112,37,25,6,0
Noney,25,0,0,5,0,0,42,28,40,13,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,34,0,7,1,4,2,764,391,96,1,33,0
Tamenglong,4,0,0,4,3,2,189,98,13,6,0,0
Tengnoupal,175,0,4,16,0,0,97,64,66,0,0,0
Thoubal,578,14.85,26,39,78,2,677,236,391,58,18,1
Ukhrul,4,0,1,1,21,15,347,193,125,102,0,0
