district,Amt. NPA SHG %,SHG Amt. NPA,NPA SHG No.,SHG Amt. O/S,O/S SHG No.,FY Amount Linked Credit Current,FY Linked No Credit Current,Savings Current Amount FY Linked,rent No Cur- Linked Savings FY,Linked Quarter During the Amount Credit,it Quarter During Linked No Cred- the,Linked Quarter During the Amount Savings,ings No Quarter During Linked Sav- the
East Garo Hills,9.31,13.56,23,145.58,201,49.33,60,106.46,2085,18.11,18,80.94,699
East Khasi Hills,2.04,23.34,38,1146.05,1310,784.01,783,194.93,3845,289.28,251,101.06,780
Ri Bhoi,7.25,80.31,109,1108.42,1202,205.99,140,94.86,765,71.32,43,33.02,371
West Garo Hills,8.74,94.27,207,1078.53,1397,455.69,382,315.91,3692,142.67,103,189.77,1550
West Khasi Hills,2.73,18.54,37,679.78,646,181.12,141,154.4,549,12.93,12,25.44,154
