district,Number of operative CASA,Number of Aadhaar seed- ed CASA,Number of Authenticated CASA
East Garo Hills,106806,4017,9181
East Jaintia Hills,126437,13184,6006
East Khasi Hills,998652,117441,104386
Eastern West Khasi Hills,102654,2695,1253
North Garo Hills,120710,3659,4117
Ri Bhoi,269791,20568,8416
South Garo Hills,79382,1286,3602
South West Garo Hills,127160,4089,10267
South West Khasi Hills,71130,376,414
West Garo Hills,442391,30296,33396
West Jaintia Hills,291474,20050,10059
West Khasi Hills,139139,8023,3733
