district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,243.10,90,772,1514.99,387.12,300.91,189,17.34,1735.36,900,122.40,554,3393
Kiphire,9.10,5,51,50.18,49.76,14.86,11,28.15,52.78,59,13.69,302,975
Kohima,44.83,22,113,180.21,245.87,80.35,61,31.83,252.45,169,63.29,527,2862
Longleng,8.20,4,67,82.10,42.28,20.32,29,18.74,108.45,102,26.86,127,230
Mokokchung,100.87,37,457,498.84,178.98,125.12,176,20.05,624.06,520,22.97,444,2015
Mon,9.20,4,145,123.73,133.50,41.88,52,33.69,124.32,148,21.21,508,1814
Peren,13.20,8,33,32.31,46.54,7.71,6,21.39,36.05,69,5.19,124,547
Phek,21.20,17,167,174.65,283.54,71.20,95,40.96,173.84,172,48.48,624,1968
Tuensang,0.00,0,90,94.98,177.56,35.28,46,37.02,95.30,92,71.41,678,1794
Wokha,79.00,38,122,166.20,117.89,9.10,11,5.20,175.02,136,16.46,255,972
Zunheboto,1.10,1,92,82.08,149.73,26.31,36,32.19,81.74,94,89.72,417,1062
