district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,155605,57891,1753993,81371,4774
Kiphire,13918,15398,485124,15398,360
Kohima,95888,15256,650651,23520,2081
Longleng,11487,15766,466815,15766,169
Mokokchung,52488,21166,752282,22720,2885
Mon,34779,38229,1212344,38233,182
Peren,16444,16267,371702,16267,1755
Phek,31990,22389,974536,22403,1157
Tuensang,24725,38508,995762,38509,1026
Wokha,27299,11939,203381,14412,2000
Zunheboto,19637,13269,314201,14076,607
