district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,145,147.78,2190546,58134.37,68918656,3103841.82,187285,14827.18,17109133,3073229.33,655953,9355.18
Kiphire,0,0.00,136593,3527.62,0,0.00,1840,118.32,1,0.05,25371,348.63
Kohima,7,0.90,1032751,23864.88,16727655,820805.26,61698,2053.64,5585673,933366.21,378868,4679.80
Longleng,0,0.00,117113,3480.06,0,0.00,15,0.33,14,0.28,17920,194.51
Mokokchung,0,0.00,478971,11767.14,6568808,173594.48,14987,469.09,2366452,579855.73,151634,1274.82
Mon,0,0.03,439385,9016.59,0,0.00,1298,71.61,3,0.07,79974,714.92
Peren,0,0.00,158310,2976.55,0,0.00,220,9.62,12,0.52,44198,721.34
Phek,0,0.00,257226,5658.09,0,0.00,2211,168.83,0,0.00,70358,749.73
Tuensang,0,0.00,363893,8246.64,0,0.00,2573,149.76,0,0.00,62898,585.13
Wokha,0,0.00,383134,7739.98,0,0.00,2989,138.69,0,0.00,87900,781.41
Zunheboto,0,0.00,233144,5651.47,0,0.00,8705,105.86,7,0.21,58036,589.29
