district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,165.38,34,465.65,42,1441.19,433,37.38,3855.86,992
Kiphire,0.17,1,0.00,0,0.00,0,0.00,639.52,282
Kohima,92.32,33,165.71,65,917.01,335,44.13,2078.13,711
Longleng,0.00,0,0.00,0,0.00,0,0.00,348.95,204
Mokokchung,118.81,28,186.64,27,667.40,87,36.83,1811.88,449
Mon,0.00,0,0.00,0,0.00,0,0.00,385.25,190
Peren,0.00,0,0.00,0,0.00,0,0.00,421.12,171
Phek,3.86,1,0.00,0,0.00,0,0.00,833.97,296
Tuensang,0.00,0,0.00,0,0.00,0,0.00,448.60,262
Wokha,12.00,3,30.00,3,84.92,49,31.67,268.16,125
Zunheboto,0.00,0,0.00,0,26.69,7,4.10,650.91,327
