district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,26660.20,153686.98,91864.20,58.01,49.42,39.87,45955.00,310967.77,230430.26,46.35,272211.38,587353.03
Kiphire,1483.51,7345.50,0.00,148.29,80.77,,1000.43,9093.97,0.00,87.46,8829.01,10094.40
Kohima,10171.34,93385.18,990.68,54.96,19.94,76.58,18506.10,468213.84,1293.60,21.42,104547.20,488013.54
Longleng,5449.93,0.00,0.00,73.09,,,7456.31,0.00,0.00,73.09,5449.93,7456.31
Mokokchung,11879.12,45147.58,0.00,74.05,61.91,,16041.51,72930.17,0.00,64.10,57026.70,88971.68
Mon,6523.75,12450.19,0.00,86.63,51.38,,7530.42,24230.65,0.00,59.74,18973.94,31761.07
Peren,10730.84,1522.07,0.00,115.40,89.48,,9299.13,1700.99,0.00,111.39,12252.91,11000.12
Phek,7303.48,10577.03,0.00,68.99,47.79,,10586.57,22134.62,0.00,54.65,17880.51,32721.19
Tuensang,3987.11,20876.72,0.00,78.86,112.65,,5055.66,18531.57,0.00,105.41,24863.83,23587.23
Wokha,4035.78,17674.21,0.00,66.64,63.79,,6055.73,27705.37,0.00,64.30,21709.99,33761.10
Zunheboto,7249.46,14172.29,0.00,62.14,107.93,,11666.13,13130.69,0.00,86.39,21421.75,24796.82
