district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,19628.94,44997,36933,50748,78290,10732,58985,16092,81930,62491
Kiphire,286.55,7924,7549,7978,13993,1556,11931,5826,15473,9653
Kohima,4459.01,10496,9766,15220,18317,3836,12857,6259,20262,10520
Longleng,274.38,8736,7798,8832,18010,1051,14242,16406,16534,129
Mokokchung,2665.57,14874,13774,16534,26297,4315,18230,10443,28648,17800
Mon,671.30,20492,19546,16254,37932,2412,35295,12834,40038,27213
Peren,354.57,8847,7026,8018,16432,114,12565,15854,15873,20
Phek,716.96,12027,10494,13541,20314,1956,17490,10811,22521,11714
Tuensang,655.31,17027,17921,10354,33697,2221,29601,9856,34948,25094
Wokha,1961.43,8677,5458,6455,12994,1133,19447,4675,14135,8040
Zunheboto,4018.49,8438,9675,5052,13498,3742,8257,14033,18113,4080
