district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,145.92,132,1444.16,775,3863.63,2637,47083.90,18111
Kohima,6.19,11,250.98,90,2241.46,1136,21857.04,8944
Longleng,4.65,1,24.30,4,0.00,0,3.99,1
Mokokchung,9.52,3,126.88,28,276.49,225,6580.48,2845
Mon,3.00,2,46.56,13,236.12,93,255.65,103
Peren,0.00,0,9.84,1,26.40,3,55.64,10
Phek,52.00,5,63.81,10,65.39,8,119.54,17
Tuensang,0.00,0,12.00,2,18.65,4,33.14,7
Wokha,7.90,3,80.98,26,196.49,137,633.09,259
Zunheboto,20.89,7,49.98,19,190.58,170,421.12,182
