district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,182.34,13,3607.35,2824,272.29,33,597.15,384,66.14,46,4725.27,3300,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,0.00,1,21.60,3,21.60,4,0.00,0
Kohima,4.83,13,2831.18,1394,0.00,1,73.75,69,7.22,14,2916.98,1491,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,10.00,5,0.00,0,10.00,5,0.00,0
Mokokchung,1.64,3,349.01,322,0.00,0,8.17,23,1.60,8,360.42,356,0.00,0
Mon,0.00,1,511.55,140,0.00,0,7.81,26,0.00,0,519.36,167,0.00,0
Peren,9.90,1,0.00,0,0.00,0,0.00,6,0.00,1,9.90,8,0.00,0
Phek,12.00,1,0.00,0,0.00,0,22.33,14,0.00,0,34.33,15,0.00,0
Tuensang,0.00,0,0.00,0,0.00,0,9.09,17,0.00,2,9.09,19,0.00,0
Wokha,0.00,0,56.89,48,0.00,0,66.74,21,6.10,6,129.73,75,0.00,0
Zunheboto,1.50,3,152.05,163,0.00,0,1.24,9,0.06,3,154.85,178,0.00,0
