district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,11,113,20,42,8,54,10,32,22,144,64
Kiphire,0,3,0,13,0,13,1,2,0,3,3
Kohima,7,79,1,11,2,17,8,34,1,87,43
Longleng,2,0,0,6,4,10,1,0,0,2,1
Mokokchung,9,32,0,6,6,15,13,12,0,41,25
Mon,4,5,0,6,8,12,4,3,0,9,7
Peren,5,1,0,9,2,11,3,1,0,6,4
Phek,5,4,0,10,6,16,5,3,0,9,8
Tuensang,1,7,0,2,10,12,4,4,0,8,8
Wokha,2,12,0,0,2,4,5,6,0,14,11
Zunheboto,3,5,0,5,3,8,7,2,0,8,9
