district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,10.53,21,0.30,2,0.00,0,0.00,18.75,29
Kiphire,0.25,1,0.16,1,0.60,1,15.38,3.90,11
Kohima,5.30,4,0.00,0,0.00,0,0.00,12.33,21
Longleng,0.00,0,0.00,0,1.19,2,37.07,3.21,7
Mokokchung,48.90,24,0.00,0,11.22,13,10.91,102.82,142
Mon,0.01,1,0.00,0,2.44,4,8.56,28.51,42
Peren,3.50,35,0.00,0,0.00,0,0.00,4.60,36
Phek,0.00,0,0.05,1,0.00,0,0.00,1.05,2
Tuensang,0.00,0,0.00,0,0.00,0,0.00,3.59,5
Wokha,0.00,0,0.00,0,3.41,4,11.78,28.94,34
Zunheboto,0.00,0,0.00,0,3.52,5,29.24,12.04,17
