district,Application ID,Applicatio n Date,ODOP Description,Current Status,Bank Name,Project Cost
Dhalai,11626921696001,17-Sep-21,Multiple fruit processing,Pending with DRP,PUNJAB NATIONAL BANK,"27,92,450.00"
North Tripura,11627021698926,04-Oct-21,Tea,Pending with Lending Bank,STATE BANK OF INDIA,"11,59,376.00"
Sepahijala,11665321704126,19-Nov-21,Milk based Products,Pending with Lending Bank,PUNJAB NATIONAL BANK,"10,07,650.00"
South Tripura,11627121696669,21-Sep-21,Bakery products,Pending with Lending Bank,STATE BANK OF INDIA,"18,58,146.00"
Unakoti,11665521695051,06-Sep-21,Multiple fruit processing,Pending with DRP,CANARA BANK,"6,87,380.00"
West Tripura,11627221518395,22-Jul-21,Bakery products,Loan Sanctioned,STATE BANK OF INDIA,"13,38,410.00"
