district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,124.18,998,780,702,1740,66,1563,1778,1778,0
Changlang,1422.86,24729,20130,13398,46975,3081,40084,44865,44859,0
Dibang Valley,95.26,261,262,291,401,40,274,523,523,0
East Kameng,732.00,8553,7301,3907,12251,1386,11521,0,15854,11260
East Siang,2733.62,29176,23925,15465,53662,6034,40712,29164,53101,23151
Kamle,96.14,899,519,291,1337,14,500,1418,1418,0
Kra Daadi,180.63,1879,1112,754,3872,27,2176,2993,2991,0
Kurung Kumey,269.88,2344,1424,1513,4037,609,2180,3771,3768,0
Leparada,217.50,1858,1221,905,2835,500,2225,3082,3079,0
Lohit,530.45,6636,4995,5123,11295,958,8855,3205,11631,8159
Longding,372.04,6947,3698,4403,11018,494,9485,10646,10645,0
Lower Dibang Valley,639.02,7644,6306,6395,14384,1008,8820,2053,13950,11897
Lower Siang,547.24,11323,9690,2030,16781,876,15507,21016,21013,0
Lower Subansiri,1062.10,7373,5738,4476,12941,479,9360,4089,13111,7705
Namsai,1303.80,11710,10067,12636,22633,1017,19818,6440,21777,15273
Papum Pare,46463.84,34646,24675,27574,60083,6249,44448,20328,59321,35114
Shi Yomi,227.54,882,768,775,2132,233,1311,1651,1650,0
Siang,362.59,2256,2499,1334,3884,126,3478,4757,4755,0
Tawang,492.57,3099,1856,2503,4582,1057,2958,2253,4955,2113
Tirap,740.74,8291,5826,6391,15359,377,11935,14122,14117,0
Upper Siang,331.22,2384,1747,2640,2332,279,1998,4131,4131,0
Upper Subansiri,1686.66,12209,8616,7772,22215,2568,15794,7076,20825,13762
West Kameng,1077.73,8415,7224,5761,15093,934,10558,15640,15639,0
West Siang,1222.88,8563,7231,7519,14448,2026,11966,4115,15794,11607
