district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,33793,651.56,0,0.00,0,0.00,0,0.00,5597,61.34
Changlang,0,0.02,425165,9393.40,0,0.00,1650,54.36,1,0.00,74181,1009.44
Dibang Valley,0,0.00,14482,353.96,0,0.00,670,33.22,0,0.00,3202,77.64
East Kameng,0,0.00,95215,3154.72,685,2271.66,7500,557.04,305,369.89,19956,484.03
East Siang,27,129.79,399077,8827.53,29493084,1065939.05,22554,1674.07,3133511,675438.51,85990,1325.17
Kamle,0,0.00,20049,458.80,0,0.00,0,0.00,0,0.00,3758,67.17
Kra Daadi,0,0.00,35228,1009.20,0,0.00,12,0.46,0,0.00,5410,145.94
Kurung Kumey,0,0.00,19572,631.28,0,0.00,5675,243.36,0,0.00,4451,122.22
Leparada,0,0.02,97884,2466.85,0,0.00,1162,48.00,3,0.03,15559,261.02
Lohit,0,0.00,180712,3715.99,866,496.73,1216,197.02,393,111.45,32880,488.41
Longding,0,0.00,132610,3710.96,0,0.00,59,1.78,0,0.00,14212,280.08
Lower Dibang Valley,0,0.00,130502,2678.85,19656349,786931.18,8510,278.97,2133984,500730.48,30156,459.37
Lower Siang,0,0.00,100967,2099.60,0,0.00,0,0.00,116,0.97,16239,285.98
Lower Subansiri,0,0.01,236919,5548.24,15985,858.06,4429,284.84,4434,638.90,56326,967.42
Namsai,0,0.00,212614,4638.94,40,73.00,795,112.24,1,0.00,43545,750.33
Papum Pare,745,155.71,1211539,33323.03,72750395,3567714.76,150537,8241.11,11021944,2921843.73,407261,8811.87
Shi Yomi,0,0.02,11932,238.16,0,0.00,698,30.25,0,0.00,2965,65.74
Siang,0,0.00,40108,892.03,0,0.00,2,0.01,0,0.00,6380,101.95
Tawang,0,0.03,117294,2752.43,18001100,680195.24,8429,381.82,1581951,437831.74,27020,473.76
Tirap,0,0.00,202642,5169.45,0,0.00,380,16.72,8,0.16,38392,672.99
Upper Siang,0,0.00,72391,1994.92,0,0.00,1811,75.63,0,0.00,11677,218.38
Upper Subansiri,0,0.00,134383,3521.89,319,219.57,5024,373.73,141,148.08,25621,510.39
West Kameng,0,0.03,306399,8055.57,13916,560.13,5165,219.72,2861,432.08,76581,1485.23
West Siang,13,3.25,212258,5179.97,14962,540.29,10909,509.42,6454,688.59,48568,822.54
