district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,2,0,0,2,0,4,2,0,0,2,2
Changlang,9,0,0,47,6,53,7,3,0,9,10
Dibang Valley,1,0,0,1,0,1,1,1,0,1,2
East Kameng,0,10,0,10,8,11,0,4,0,10,4
East Siang,0,14,0,47,14,77,5,11,0,14,16
Kamle,0,0,0,1,0,1,1,0,0,0,1
Kra Daadi,1,0,0,4,1,5,1,0,0,1,1
Kurung Kumey,1,0,0,3,3,6,1,3,0,1,4
Leparada,1,0,0,2,1,4,2,2,0,1,4
Lohit,1,9,0,4,1,8,3,3,0,10,6
Longding,3,0,0,7,1,8,3,0,0,3,3
Lower Dibang Valley,0,7,0,50,9,59,2,5,0,7,7
Lower Siang,2,0,0,6,12,29,5,0,0,2,5
Lower Subansiri,2,8,0,25,3,27,5,6,0,10,11
Namsai,1,3,0,24,7,32,4,6,0,4,10
Papum Pare,7,111,0,71,4,85,10,52,0,118,62
Shi Yomi,1,0,0,2,0,2,1,1,0,1,2
Siang,1,0,0,10,0,21,4,0,0,1,4
Tawang,4,12,0,13,1,15,4,6,0,16,10
Tirap,4,0,0,11,0,16,3,2,0,4,5
Upper Siang,1,0,0,2,4,7,4,3,0,1,7
Upper Subansiri,1,6,0,9,0,14,7,2,0,7,9
West Kameng,27,2,0,22,2,23,15,1,0,29,16
West Siang,0,12,0,22,5,29,3,6,0,12,9
