district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,0.00,0,0.79,1,0.00,0,0.00,1.71,1
East Kameng,0.00,0,0.00,0,0.00,0,0.00,0.08,1
East Siang,0.00,0,46.39,32,39.22,25,34.57,113.46,89
Kra Daadi,1.02,1,0.13,4,0.00,0,0.00,68.49,94
Kurung Kumey,0.00,0,0.75,1,0.00,0,0.00,6.75,1
Lohit,0.00,0,0.00,0,0.00,0,0.00,7.04,12
Lower Subansiri,4.00,4,0.00,0,0.00,0,0.00,0.00,0
Namsai,3.00,3,0.00,0,0.00,0,0.00,0.00,0
Papum Pare,35.00,14,132.89,103,84.89,76,26.80,316.77,296
Tirap,0.00,0,0.03,1,0.00,0,0.00,1.03,1
Upper Subansiri,0.00,0,0.61,1,0.61,1,100.00,0.61,1
West Siang,4.00,4,16.61,41,17.21,11,23.87,72.11,32
