district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,0.00,0,0,0.00,5.07,0.00,0,0.00,0.00,0,5.07,15,15
Changlang,0.00,0,0,0.00,97.33,3.71,37,37.14,9.99,49,97.33,718,718
Dibang Valley,0.00,0,0,0.00,0.09,0.00,0,0.00,0.00,0,0.09,6,6
East Kameng,0.00,0,0,0.00,0.38,0.00,0,0.00,0.00,0,0.38,118,118
East Siang,0.00,0,0,0.00,3.90,1.52,6,19.34,7.86,20,3.90,24,24
Kamle,0.00,0,0,0.00,0.23,0.00,0,0.00,0.00,0,0.23,10,10
Kra Daadi,1.86,2,0,0.00,9.24,0.00,0,0.00,69.33,95,9.24,125,125
Kurung Kumey,0.00,0,0,0.00,0.52,0.00,0,0.00,2.77,3,0.52,58,58
Leparada,0.86,1,0,0.00,6.96,0.12,2,0.71,16.89,22,6.96,43,43
Lohit,0.00,0,0,0.00,10.12,1.27,3,31.75,4.00,5,10.12,59,59
Longding,0.00,0,0,0.00,6.80,10.46,35,100.00,10.46,35,6.80,137,137
Lower Dibang Valley,0.00,0,0,0.00,5.45,0.00,1,0.00,16.83,37,5.49,17,17
Lower Siang,0.00,0,0,0.00,0.22,0.00,0,0.00,0.00,0,0.22,12,12
Lower Subansiri,6.05,6,4,4.02,5.42,0.71,1,1.29,54.92,52,5.42,25,25
Namsai,0.00,0,0,0.00,8.64,0.04,2,0.27,14.62,34,7.89,31,34
Papum Pare,21.92,22,22,18.32,6.28,55.95,69,34.01,164.52,143,11.38,38,41
Shi Yomi,0.00,0,0,0.00,0.55,0.00,0,0.00,9.02,18,0.55,17,17
Siang,0.00,0,0,0.00,16.42,0.00,0,0.00,1.37,2,16.42,69,69
Tawang,0.00,0,0,0.00,21.65,0.00,0,0.00,2.81,2,21.65,75,75
Tirap,1.46,2,0,0.00,35.08,1.12,10,19.61,5.71,16,35.08,581,581
Upper Siang,2.88,3,3,2.88,18.11,0.98,7,2.45,40.03,24,18.11,11,11
Upper Subansiri,0.00,0,0,0.00,1.19,3.08,8,16.90,18.22,57,1.21,73,73
West Kameng,0.00,0,0,0.00,35.18,8.59,36,43.04,19.96,41,35.18,147,147
West Siang,12.73,23,23,12.73,4.28,3.45,27,8.06,42.79,79,4.28,38,38
