district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,0.00,0,50.29,13,4.26,4,1627.09,495
Changlang,2.06,2,555.32,220,60.93,47,7479.19,2663
Dibang Valley,0.00,0,29.04,7,10.22,18,1627.76,550
East Kameng,0.00,0,77.06,14,98.59,27,7184.25,3028
East Siang,8.02,3,421.03,153,1440.61,223,28543.71,7737
Kamle,0.00,0,16.07,6,2.84,7,399.38,98
Kra Daadi,3.53,2,43.98,12,8.28,24,1709.33,638
Kurung Kumey,0.00,0,32.77,4,30.80,26,2320.71,816
Leparada,0.00,0,18.79,6,117.44,32,6792.75,2308
Lohit,0.01,4,168.76,64,160.29,141,9277.49,4047
Longding,0.00,0,50.56,12,1.24,2,978.31,168
Lower Dibang Valley,4.76,3,255.38,146,193.67,68,5830.16,2215
Lower Siang,4.72,3,201.07,54,124.37,65,2734.48,742
Lower Subansiri,0.00,0,345.74,91,539.06,101,16874.35,6089
Namsai,10.67,8,324.64,125,225.51,161,9633.27,2771
Papum Pare,157.97,31,2246.69,656,6211.07,608,138197.66,26599
Shi Yomi,0.00,0,9.88,1,43.13,8,959.07,309
Siang,0.00,0,46.70,7,113.49,32,1857.05,432
Tawang,26.34,5,118.46,52,346.99,100,6013.23,1575
Tirap,3.97,1,138.75,30,20.62,42,6327.01,2857
Upper Siang,0.00,0,104.04,24,72.79,24,3664.50,1271
Upper Subansiri,0.00,0,154.17,44,358.51,118,14371.01,4022
West Kameng,11.47,9,351.20,109,382.10,157,10977.47,3847
West Siang,3.04,2,224.70,54,495.32,149,21655.08,5114
