district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,0.00,0,0.00,0,3.53,2,42.68,8.27,4
Changlang,0.00,0,0.00,0,17.87,12,50.00,35.74,19
Dibang Valley,0.00,0,0.00,0,3.02,1,100.00,3.02,1
East Kameng,0.00,0,0.00,0,28.90,12,41.84,69.07,18
East Siang,0.00,0,0.00,0,55.94,33,63.16,88.57,49
Kra Daadi,0.00,0,0.00,0,165.03,58,79.18,208.42,68
Kurung Kumey,13.30,2,13.30,2,100.64,39,56.75,177.34,63
Leparada,0.00,0,0.00,0,23.55,9,41.01,57.43,17
Lohit,0.00,0,0.00,0,5.51,2,18.26,30.18,12
Longding,0.00,0,0.00,0,9.49,1,70.24,13.51,2
Lower Dibang Valley,0.00,0,0.00,0,2.55,1,17.70,14.41,3
Lower Siang,0.00,0,0.00,0,15.27,3,39.94,38.23,6
Lower Subansiri,0.00,0,0.00,0,199.53,96,56.93,350.47,142
Namsai,0.00,0,0.00,0,12.77,7,21.55,59.27,33
Papum Pare,13.56,6,18.89,5,346.18,146,54.53,634.90,235
Siang,0.00,0,0.00,0,17.58,10,34.41,51.09,18
Tawang,0.00,0,0.00,0,3.27,5,3.87,84.57,24
Tirap,0.00,0,0.00,0,4.83,3,41.39,11.67,9
Upper Siang,0.00,0,0.00,0,15.83,9,31.06,50.96,21
Upper Subansiri,3.60,1,6.85,1,196.40,71,54.18,362.48,116
West Kameng,2.85,1,0.00,0,39.79,27,38.08,104.49,55
West Siang,0.50,1,0.00,0,139.24,51,61.97,224.68,75
