district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,3778,2651,1,2651,10
Changlang,53601,44868,1,45047,56
Dibang Valley,3867,646,0,647,24
East Kameng,27326,12044,0,13468,17
East Siang,37430,41812,1,43315,598
Kamle,2305,937,0,937,6
Kra Daadi,3370,3126,0,3126,30
Kurung Kumey,20260,1966,1,2264,55
Leparada,10797,2606,1,2736,116
Lohit,18650,11663,3,11841,143
Longding,8236,12387,1,12387,15
Lower Dibang Valley,24805,10190,0,10191,151
Lower Siang,4751,17826,4,17826,104
Lower Subansiri,24549,11395,7,11696,599
Namsai,32159,20651,1,21009,343
Papum Pare,117217,44377,11,51498,1916
Shi Yomi,4867,1692,1,1717,1
Siang,2849,3918,2,3918,28
Tawang,21126,3239,1,3559,35
Tirap,26519,14744,0,15252,34
Upper Siang,20418,2496,7,2546,44
Upper Subansiri,28583,15855,24,17100,166
West Kameng,32176,12459,1,13515,163
West Siang,25274,11687,1,12238,131
