district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,2437.52,0.00,0.00,18.79,,12970.13,0.00,0.00,18.79,2437.52,12970.13
Changlang,13546.12,501.73,0.00,20.56,21.53,65883.68,2330.09,0.00,20.59,14047.85,68213.77
Dibang Valley,1747.59,220.42,0.00,19.56,28.77,8935.80,766.13,0.00,20.28,1968.01,9701.93
East Kameng,0.00,13981.24,0.00,,61.32,0.00,22801.40,0.00,61.32,13981.24,22801.40
East Siang,6147.72,31881.20,0.00,21.88,35.61,28094.44,89531.05,0.00,32.33,38028.92,117625.49
Kamle,717.55,0.00,0.00,22.11,,3244.83,0.00,0.00,22.11,717.55,3244.83
Kra Daadi,2164.20,0.00,0.00,45.29,,4778.40,0.00,0.00,45.29,2164.20,4778.40
Kurung Kumey,2525.84,1344.24,0.00,38.02,67.95,6644.01,1978.22,0.00,44.88,3870.08,8622.23
Leparada,6027.53,1289.16,0.00,30.05,67.31,20055.11,1915.20,0.00,33.30,7316.69,21970.31
Lohit,2086.95,10925.56,0.00,34.35,30.20,6075.29,36178.12,0.00,30.80,13012.51,42253.41
Longding,7133.90,0.00,0.00,54.19,,13163.65,0.00,0.00,54.19,7133.90,13163.65
Lower Dibang Valley,232.27,9680.53,0.00,17.22,21.57,1349.11,44874.70,0.00,21.45,9912.80,46223.81
Lower Siang,6282.51,0.00,0.00,33.04,,19012.51,0.00,0.00,33.04,6282.51,19012.51
Lower Subansiri,4875.64,19461.35,0.00,37.83,37.99,12889.97,51222.18,0.00,37.96,24336.99,64112.15
Namsai,6816.62,7670.47,0.00,30.33,31.48,22474.44,24369.40,0.00,30.93,14487.09,46843.84
Papum Pare,28859.36,267872.35,0.00,38.18,31.84,75586.63,841264.48,0.00,32.36,296731.71,916851.11
Shi Yomi,882.34,295.41,0.00,14.99,23.32,5884.96,1266.83,0.00,16.47,1177.75,7151.79
Siang,2136.03,0.00,0.00,19.38,,11021.89,0.00,0.00,19.38,2136.03,11021.89
Tawang,2349.82,9715.89,0.00,9.02,9.19,26055.13,105750.72,0.00,9.15,12065.71,131805.85
Tirap,11778.47,1048.58,0.00,36.40,87.86,32356.20,1193.42,0.00,38.23,12827.05,33549.62
Upper Siang,4765.70,650.88,0.00,12.62,31.98,37775.33,2035.31,0.00,13.61,5416.58,39810.64
Upper Subansiri,3035.84,16595.55,0.00,20.97,48.05,14477.15,34535.64,0.00,40.05,19631.39,49012.79
West Kameng,21320.19,1070.40,0.00,21.47,314.30,99294.57,340.57,0.00,22.47,22390.59,99635.14
West Siang,935.78,21890.03,0.00,11.98,35.54,7809.92,61598.61,0.00,32.89,22825.81,69408.53
