District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,501.98,252,221.61,44.15
Arwal,175.37,59,21.17,12.07
Aurangabad,475.32,131,99.26,20.88
Banka,356.28,39,25.85,7.26
Begusarai,759.33,340,396.28,52.19
Bhagalpur,984.26,341,363.29,36.91
Bhojpur,735.53,191,144.86,19.69
Buxar,366.39,265,73.25,19.99
Darbhanga,734.37,321,235.67,32.09
Gaya,1070.83,374,312.87,29.22
Gopalganj,388.05,141,88.35,22.77
Jamui,289.5,77,67.98,23.48
Jehanabad,311.17,86,26.75,8.60
Kaimur (Bhabua),359.08,83,43.6,12.14
Katihar,670.37,221,233.23,34.79
Khagaria,324.24,117,97.01,29.92
Kishanganj,330.19,106,96.8,29.32
Lakhisarai,258.67,39,16.72,6.46
Madhepura,357.43,107,76.4,21.37
Madhubani,730.2,165,113.91,15.60
Munger,397.55,63,23.53,5.92
Muzaffarpur,1352.13,679,650.51,48.11
Nalanda,648.14,330,153.91,23.75
Nawada,344.26,170,44.64,12.97
Pashchim Champaran,620.62,304,219.77,35.41
Patna,4759.16,2753,2988.36,62.79
Purbi Champaran,862.2,366,256.66,29.77
Purnia,759.53,417,445.71,58.68
Rohtas,677.2,220,169.09,24.97
Saharsa,319.18,150,127.23,39.86
Samastipur,851.89,400,247.72,29.08
Saran,810.3,205,133.48,16.47
Sheikhpura,167.93,38,19.94,11.87
Sheohar,142.03,10,4.47,3.15
Sitamarhi,486.29,168,131.57,27.06
Siwan,713,228,145.75,20.44
Supaul,388.27,162,89.51,23.05
Vaishali,521.76,255,164.19,31.47
