District,"Pending Cases as on
31.03.2024 No. of Acs",Amt,"Cases filed during the
quarter - June 2024 No. of Acs",Amt,"Cases disposed during the
quarter June 2024 No. of Acs",Amt,"Pending Cases as on
30.06.2024 No. of Acs",Amt
Araria,3,91,1,10,0,0,4,101
Arwal,3,72,1,30,0,0,4,102
Aurangabad,8,280,4,172,2,77,10,375
Banka,0,0,0,0,0,0,0,0
Begusarai,23,536,4,50,6,266,21,320
Bhagalpur,16,435,6,1636,2,34,20,2037
Bhojpur,9,307,5,158,5,57,9,408
Buxar,8,161,7,184,3,38,12,307
Darbhanga,15,525,0,0,0,0,15,525
Gaya,20,919,4,80,13,824,11,175
Gopalganj,17,209,2,50,6,151,13,108
Jamui,3,31,1,2,0,0,4,33
Jehanabad,8,111,0,0,0,0,8,111
Kaimur (Bhabua),4,74,9,229,5,120,8,183
Katihar,12,190,2,17,4,32,10,175
Khagaria,11,380,0,0,4,177,7,203
Kishanganj,19,158,6,50,8,48,17,160
Lakhisarai,1,15,1,12,0,0,2,27
Madhepura,10,159,1,13,2,37,9,135
Madhubani,3,33,0,0,2,19,1,14
Munger,13,591,0,0,2,30,11,561
Muzaffarpur,61,1030,9,206,19,735,51,501
Nalanda,49,741,6,84,4,62,51,763
Nawada,3,29,1,16,0,0,4,45
Pashchim Champaran,25,416,18,275,3,38,40,653
Patna,38,1022,23,8043,23,4774,38,4291
Purbi Champaran,30,484,19,349,18,367,31,466
Purnia,41,1024,21,700,11,174,51,1550
Rohtas,50,379,22,279,2,41,70,617
Saharsa,13,699,0,0,3,351,10,348
Samastipur,7,566,1,52,1,78,7,540
Saran,20,228,10,75,8,32,22,271
Sheikhpura,7,140,1,17,3,77,5,80
Sheohar,3,40,5,88,0,0,8,128
Sitamarhi,9,132,0,0,2,35,7,97
Siwan,37,521,21,151,24,99,34,573
Supaul,3,165,3,47,1,127,5,85
Vaishali,23,835,8,123,3,49,28,909
