District,"Micro Enterprises
(Manufacturing + Service)
(including Khadi & Village
Industries) A/c",Amt,"Small Enterprises
(Manufacturing +
Service) A/c",Amt,"Medium Enterprises
(Manufacturing +
Service) A/c",Amt,"Other finance to MSMEs
(As indicated in Master
Direction on PSL) A/c",Amt,"Out of Other finance to
MSMEs above, loans upto
50 crores to Start-ups) A/c",Amt,Total MSMEs (PS) A/c,Amt
Araria,6549,399.86,252,221.61,16,38.42,7,3.24,0,0,6824,663.13
Arwal,1456,57.59,59,21.17,7,0.37,0,0,0,0,1522,79.13
Aurangabad,4493,321.47,131,99.26,12,3.31,2,0.1,0,0,4638,424.14
Banka,3098,110.77,39,25.85,2,8.11,0,0,0,0,3139,144.73
Begusarai,8996,557.3,340,396.28,45,190.47,1,0,0,0,9382,1144.05
Bhagalpur,11282,618.93,341,363.29,19,95.2,0,0,0,0,11642,1077.42
Bhojpur,5001,285.15,191,144.86,8,15.42,1,0.01,0,0,5201,445.44
Buxar,2827,181.84,265,73.25,7,3.3,1,0.02,0,0,3100,258.41
Darbhanga,15851,483.39,321,235.67,30,50.18,3,1.11,0,0,16205,770.35
Gaya,10557,616.7,374,312.87,33,96.48,1,0.28,0,0,10965,1026.33
Gopalganj,6463,288.25,141,88.35,14,51.48,1,0,0,0,6619,428.08
Jamui,2585,136.87,77,67.98,7,8,0,0,0,0,2669,212.85
Jehanabad,3647,109.24,86,26.75,13,5.84,0,0,0,0,3746,141.83
Kaimur (Bhabua),2476,140.77,83,43.6,7,10.16,1,0.18,0,0,2567,194.71
Katihar,6872,363.75,221,233.23,11,38.09,6,1.61,0,0,7110,636.68
Khagaria,2983,182.21,117,97.01,1,6,1,0.15,0,0,3102,285.37
Kishanganj,4144,163.49,106,96.8,6,13.53,2,0.1,0,0,4258,273.92
Lakhisarai,1631,127.84,39,16.72,0,0,1,0,0,0,1671,144.56
Madhepura,4659,191.52,107,76.4,10,6.54,1,0,0,0,4777,274.46
Madhubani,11428,367.88,165,113.91,10,6.61,1,0.1,0,0,11604,488.5
Munger,2979,150.07,63,23.53,7,0.76,0,0,0,0,3049,174.36
Muzaffarpur,17342,1105.56,679,650.51,53,121.82,2,0.6,0,0,18076,1878.49
Nalanda,7831,366.79,330,153.91,15,9.54,1,0,0,0,8177,530.24
Nawada,3023,194.29,170,44.64,18,26.01,6,0.65,0,0,3217,265.59
Pashchim Champaran,9788,476.47,304,219.77,9,3.33,1,0,0,0,10102,699.57
Patna,28650,3209.78,2753,2988.36,638,1767.63,10,2.44,0,0,32051,7968.21
Purbi Champaran,11434,631.57,366,256.66,39,43.16,9,3.92,0,0,11848,935.31
Purnia,13371,756.62,417,445.71,41,196.09,2,0.02,0,0,13831,1398.44
Rohtas,4598,401.96,220,169.09,13,8.94,0,0,0,0,4831,579.99
Saharsa,5454,247.56,150,127.23,11,6.06,1,3,0,0,5616,383.85
Samastipur,10659,553.99,400,247.72,17,51.63,7,0.72,0,0,11083,854.06
Saran,8962,436.65,205,133.48,4,25.01,6,2.55,0,0,9177,597.69
Sheikhpura,1153,68.96,38,19.94,1,0.52,0,0,0,0,1192,89.42
Sheohar,1551,52.59,10,4.47,1,0.1,1,0.2,0,0,1563,57.36
Sitamarhi,8249,366.66,168,131.57,14,14.85,7,0.03,0,0,8438,513.11
Siwan,12934,378.33,228,145.75,7,5.54,1,0,0,0,13170,529.62
Supaul,5780,213.73,162,89.51,8,0.14,2,0.13,0,0,5952,303.51
Vaishali,9165,433.94,255,164.19,10,38.32,1,0,0,0,9431,636.45
