district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,39,154.66,18402,154.66,7,154.66,28,154.66,4,154.66,15,154.66,18495,154.66
Arwal,1,4.01,373,4.01,1,4.01,3,4.01,0,4.01,2,4.01,380,4.01
Aurangabad,28,24.43,1780,24.43,7,24.43,14,24.43,0,24.43,23,24.43,1852,24.43
Banka,7,16.36,1813,16.36,1,16.36,4,16.36,0,16.36,5,16.36,1830,16.36
Begusarai,17,60.38,5933,60.38,181,60.38,6,60.38,0,60.38,20,60.38,6157,60.38
Bhagalpur,32,78.09,7035,78.09,71,78.09,13,78.09,1,78.09,12,78.09,7164,78.09
Bhojpur,20,36.72,5493,36.72,1,36.72,8,36.72,0,36.72,11,36.72,5533,36.72
Buxar,6,10.48,1011,10.48,2,10.48,1,10.48,0,10.48,4,10.48,1024,10.48
Darbhanga,38,83.72,11574,83.72,86,83.72,13,83.72,0,83.72,14,83.72,11725,83.72
Gaya,407,126.44,15539,126.44,881,126.44,60,126.44,4,126.44,33,126.44,16924,126.44
Gopalganj,251,50.43,3878,50.43,14,50.43,6,50.43,1,50.43,6,50.43,4156,50.43
Jamui,8,19.59,1910,19.59,2,19.59,6,19.59,0,19.59,11,19.59,1937,19.59
Jehanabad,0,8.28,716,8.28,0,8.28,1,8.28,0,8.28,0,8.28,717,8.28
Kaimur (Bhabua),3,14.25,1245,14.25,2,14.25,2,14.25,0,14.25,3,14.25,1255,14.25
Katihar,234,156.41,22997,156.41,8,156.41,33,156.41,0,156.41,12,156.41,23284,156.41
Khagaria,5,17.05,1504,17.05,7,17.05,9,17.05,1,17.05,5,17.05,1531,17.05
Kishanganj,159,213.69,25837,213.69,4,213.69,7,213.69,9,213.69,12,213.69,26028,213.69
Lakhisarai,2,4.11,437,4.11,1,4.11,4,4.11,1,4.11,2,4.11,447,4.11
Madhepura,8,22.14,3152,22.14,9,22.14,4,22.14,4,22.14,3,22.14,3180,22.14
Madhubani,73,67.08,7116,67.08,3,67.08,14,67.08,0,67.08,7,67.08,7213,67.08
Munger,35,16.47,1197,16.47,1,16.47,5,16.47,1,16.47,5,16.47,1244,16.47
Muzaffarpur,119,122.74,15211,122.74,104,122.74,19,122.74,8,122.74,17,122.74,15478,122.74
Nalanda,16,24.3,2026,24.3,21,24.3,6,24.3,0,24.3,9,24.3,2078,24.3
Nawada,10,18.94,1891,18.94,11,18.94,1,18.94,0,18.94,3,18.94,1916,18.94
Pashchim Champaran,152,83.29,8593,83.29,15,83.29,24,83.29,421,83.29,7,83.29,9212,83.29
Patna,181,340.58,47678,340.58,379,340.58,79,340.58,4,340.58,30,340.58,48351,340.58
Purbi Champaran,53,169.24,15214,169.24,265,169.24,18,169.24,8,169.24,25,169.24,15583,169.24
Purnia,82,218.04,20549,218.04,16,218.04,13,218.04,430,218.04,20,218.04,21110,218.04
Rohtas,14,27.74,1991,27.74,8,27.74,27,27.74,0,27.74,11,27.74,2051,27.74
Saharsa,23,35.72,4599,35.72,6,35.72,6,35.72,2,35.72,0,35.72,4636,35.72
Samastipur,43,49.62,4380,49.62,10,49.62,15,49.62,0,49.62,11,49.62,4459,49.62
Saran,35,43.52,4800,43.52,16,43.52,16,43.52,1,43.52,13,43.52,4881,43.52
Sheikhpura,4,3.48,287,3.48,6,3.48,0,3.48,0,3.48,2,3.48,299,3.48
Sheohar,1,7.58,926,7.58,2,7.58,3,7.58,0,7.58,3,7.58,935,7.58
Sitamarhi,8,46.74,5296,46.74,10,46.74,10,46.74,2,46.74,3,46.74,5329,46.74
Siwan,238,167.47,27992,167.47,80,167.47,2,167.47,4,167.47,11,167.47,28327,167.47
Supaul,18,31.67,3591,31.67,5,31.67,8,31.67,3,31.67,5,31.67,3630,31.67
Vaishali,138,248.42,60423,248.42,30,248.42,23,248.42,3,248.42,16,248.42,60633,248.42
