district,shishu_loans_up_to_rs_50_000_total_outstanding_as_of_quarter,amt,out_of_which_under_npa_no,amt,kishore_loans_from_rs_50_001_to_rs_5_00_lakh_total_outstandi,amt,out_of_which_under_npa_no,amt,tarun_loans_from_rs_5_00_to_rs_10_00_lakh_total_outstanding,amt,out_of_which_under_npa_no,amt,total_loans_up_to_rs_10_00_lakh_total_outstanding_as_of_quar,amt,out_of_which_under_npa_no,amt,age_npa_no,amt
Araria,143133,3.58,9811,3.58,127140,3.58,9811,3.58,14233,3.58,9811,3.58,284506,3.58,9811,3.58,3.45,3.58
Arwal,18011,12.36,2185,12.36,10069,12.36,2185,12.36,899,12.36,2185,12.36,28979,12.36,2185,12.36,7.54,12.36
Aurangabad,73605,10.17,9740,10.17,50333,10.17,9740,10.17,2684,10.17,9740,10.17,126622,10.17,9740,10.17,7.69,10.17
Banka,74165,5.38,7797,5.38,51634,5.38,7797,5.38,1524,5.38,7797,5.38,127323,5.38,7797,5.38,6.12,5.38
Begusarai,198949,5.29,18780,5.29,159626,5.29,18780,5.29,3691,5.29,18780,5.29,362266,5.29,18780,5.29,5.18,5.29
Bhagalpur,131836,5.33,13417,5.33,117340,5.33,13417,5.33,4414,5.33,13417,5.33,253590,5.33,13417,5.33,5.29,5.33
Bhojpur,59777,11.68,9493,11.68,44231,11.68,9493,11.68,2976,11.68,9493,11.68,106984,11.68,9493,11.68,8.87,11.68
Buxar,49818,14.66,8980,14.66,36654,14.66,8980,14.66,1982,14.66,8980,14.66,88454,14.66,8980,14.66,10.15,14.66
Darbhanga,186264,4.14,17146,4.14,132296,4.14,17146,4.14,25433,4.14,17146,4.14,343993,4.14,17146,4.14,4.98,4.14
Gaya,189936,11.01,18785,11.01,173932,11.01,18785,11.01,6066,11.01,18785,11.01,369934,11.01,18785,11.01,5.08,11.01
Gopalganj,89882,4.52,11039,4.52,70581,4.52,11039,4.52,14174,4.52,11039,4.52,174637,4.52,11039,4.52,6.32,4.52
Jamui,68650,6.70,5953,6.70,53842,6.70,5953,6.70,1516,6.70,5953,6.70,124008,6.70,5953,6.70,4.80,6.70
Jehanabad,30275,13.62,4728,13.62,24602,13.62,4728,13.62,1354,13.62,4728,13.62,56231,13.62,4728,13.62,8.41,13.62
Kaimur (Bhabua),34619,14.26,8618,14.26,31699,14.26,8618,14.26,1508,14.26,8618,14.26,67826,14.26,8618,14.26,12.71,14.26
Katihar,132148,3.39,10953,3.39,114692,3.39,10953,3.39,14293,3.39,10953,3.39,261133,3.39,10953,3.39,4.19,3.39
Khagaria,96249,5.58,7824,5.58,62890,5.58,7824,5.58,1609,5.58,7824,5.58,160748,5.58,7824,5.58,4.87,5.58
Kishanganj,69419,3.37,5607,3.37,88810,3.37,5607,3.37,8740,3.37,5607,3.37,166969,3.37,5607,3.37,3.36,3.37
Lakhisarai,30462,4.36,2670,4.36,28115,4.36,2670,4.36,879,4.36,2670,4.36,59456,4.36,2670,4.36,4.49,4.36
Madhepura,85575,4.48,7764,4.48,64985,4.48,7764,4.48,10731,4.48,7764,4.48,161291,4.48,7764,4.48,4.81,4.48
Madhubani,189777,3.86,14095,3.86,114124,3.86,14095,3.86,32715,3.86,14095,3.86,336616,3.86,14095,3.86,4.19,3.86
Munger,53098,9.97,8271,9.97,42147,9.97,8271,9.97,1824,9.97,8271,9.97,97069,9.97,8271,9.97,8.52,9.97
Muzaffarpur,356774,6.37,26516,6.37,187900,6.37,26516,6.37,21916,6.37,26516,6.37,566590,6.37,26516,6.37,4.68,6.37
Nalanda,65034,12.35,10212,12.35,55726,12.35,10212,12.35,3765,12.35,10212,12.35,124525,12.35,10212,12.35,8.20,12.35
Nawada,68586,7.27,7402,7.27,56696,7.27,7402,7.27,2845,7.27,7402,7.27,128127,7.27,7402,7.27,5.78,7.27
Pashchim Champaran,140931,6.47,33235,6.47,90283,6.47,33235,6.47,22488,6.47,33235,6.47,253702,6.47,33235,6.47,13.10,6.47
Patna,712601,7.73,46346,7.73,231960,7.73,46346,7.73,16421,7.73,46346,7.73,960982,7.73,46346,7.73,4.82,7.73
Purbi Champaran,183439,5.87,29690,5.87,153657,5.87,29690,5.87,15706,5.87,29690,5.87,352802,5.87,29690,5.87,8.42,5.87
Purnia,116646,4.55,12317,4.55,123802,4.55,12317,4.55,13818,4.55,12317,4.55,254266,4.55,12317,4.55,4.84,4.55
Rohtas,117096,13.48,16930,13.48,65510,13.48,16930,13.48,4304,13.48,16930,13.48,186910,13.48,16930,13.48,9.06,13.48
Saharsa,83201,5.89,9112,5.89,61210,5.89,9112,5.89,11124,5.89,9112,5.89,155535,5.89,9112,5.89,5.86,5.89
Samastipur,243488,4.80,17565,4.80,177713,4.80,17565,4.80,4516,4.80,17565,4.80,425717,4.80,17565,4.80,4.13,4.80
Saran,176269,6.31,26630,6.31,135474,6.31,26630,6.31,15395,6.31,26630,6.31,327138,6.31,26630,6.31,8.14,6.31
Sheikhpura,16140,9.75,2195,9.75,12271,9.75,2195,9.75,962,9.75,2195,9.75,29373,9.75,2195,9.75,7.47,9.75
Sheohar,18648,10.32,3614,10.32,11720,10.32,3614,10.32,2611,10.32,3614,10.32,32979,10.32,3614,10.32,10.96,10.32
Sitamarhi,127126,5.43,11729,5.43,90725,5.43,11729,5.43,19043,5.43,11729,5.43,236894,5.43,11729,5.43,4.95,5.43
Siwan,150354,3.71,12715,3.71,109106,3.71,12715,3.71,14860,3.71,12715,3.71,274320,3.71,12715,3.71,4.64,3.71
Supaul,53025,4.81,7115,4.81,48066,4.81,7115,4.81,11675,4.81,7115,4.81,112766,4.81,7115,4.81,6.31,4.81
Vaishali,208649,4.94,20600,4.94,159120,4.94,20600,4.94,16232,4.94,20600,4.94,384001,4.94,20600,4.94,5.36,4.94
