district,lead_bank,date_of_establishment_of_rseti,land_allotted_by_state_govt_yes_no,mou_for_land_executed_with_the_district_administration_yes,grant_received_from_nird_yes_no,map_approved_by_local_authority_yes_no,construction_started_yes_no,details_of_training_programme_organised_during_financial_yea,no_of_training_programmes_organised,no_of_persons_trained,since_inception_no_of_training_programmes_organised,no_of_persons_trained,as_on_30_06_2024_no_of_trainees_settled,no_of_trainees_settled_with_bank_finance,as_on_june_2024_name_of_the_agency_viz_drda_kvic_nabard_etc,amt_of_reimbursement_claim_pending_amt_in_lacs
Araria,SBI,19-02-2010,YES,YES,YES,YES,YES,0,8,7255,252,7255,5615,3065,SRLM,46
Arwal,PNB,12-12-2011,YES,YES,YES,YES,YES,375,12,8537,293,8537,6425,3042,SRLM,14
Aurangabad,PNB,29-02-2012,YES,YES,YES,YES,YES,0,10,9462,326,9462,7074,3192,SRLM(JEEViKA),83
Banka,UCO,30-06-2011,YES,YES,YES,YES,YES,215,26,7785,253,7785,4675,1968,SRLM,57
Begusarai,UCO,29-07-2011,YES,YES,YES,YES,YES,300,32,9481,313,9481,6492,3168,SRLM,76
Bhagalpur,UCO,14-03-2011,YES,YES,YES,YES,YES,120,28,7920,255,7920,5127,2045,SRLM,55
Bhojpur,PNB,28-03-2012,YES,YES,YES,YES,YES,30,9,7794,258,7794,5477,2044,SRLM,105
Buxar,PNB,12-12-2012,YES,YES,YES,YES,YES,0,10,7207,269,7207,4924,1911,SRLM/NABARD,53
Darbhanga,CBI,27-11-2010,YES,YES,YES,YES,YES,0,9,8207,774,8207,5465,2066,SRLM,72
Gaya,PNB,02-10-2010,YES,YES,YES,YES,YES,15,33,12478,447,12478,8580,3911,SRLM,76
Gopalganj,CBI,10-02-2011,YES,YES,YES,YES,YES,0,5,6486,608,6486,4345,1685,KVIC/SRLM,50
Jamui,SBI,26-03-2011,YES,YES,YES,YES,YES,0,10,7011,250,7011,5281,3047,KVIC,1
Jehanabad,PNB,30-09-2011,YES,YES,YES,YES,YES,38,11,9414,329,9414,6706,3073,SRLM,74
Kaimur (Bhabua),PNB,29-12-2011,YES,YES,YES,YES,YES,0,11,8630,315,8630,5908,1790,BPL (SRLM),112
Katihar,CBI,01-10-2011,YES,YES,YES,YES,YES,0,7,7360,800,7360,6105,6002,SRLM,35
Khagaria,UBI,10-02-2010,YES,YES,YES,YES,YES,3,20,8152,270,8152,5405,1862,SRLM,38
Kishanganj,SBI,27-03-2009,YES,YES,YES,YES,YES,0,9,8662,291,8662,6362,3560,SRLM,56
Lakhisarai,PNB,28-09-2010,YES,YES,YES,YES,YES,0,11,8296,309,8296,5463,1790,SRLM,84
Madhepura,SBI,19-03-2010,YES,YES,YES,YES,YES,0,10,7369,270,7369,5110,2818,SRLM,50
Madhubani,CBI,29-01-2011,YES,YES,YES,YES,YES,0,5,7654,780,7654,735,548,SRLM,16
Munger,UCO,01-02-2011,YES,YES,YES,YES,NO,54,21,7606,237,7606,4126,2507,SRLM,54
Muzaffarpur,CBI,19-02-2007,YES,YES,YES,YES,YES,0,6,9405,625,9405,7479,3411,SRLM,44
Nalanda,PNB,10-02-2010,YES,YES,YES,YES,YES,5,23,10877,383,10877,7198,3095,SRLM,55
Nawada,PNB,28-03-2010,YES,YES,YES,YES,YES,0,12,9722,355,9722,7272,3394,SRLM,117
Pashchim Champaran,CBI,27-01-2011,YES,YES,YES,YES,YES,0,7,8281,630,8281,4579,2095,SRLM KVIC,31
Patna,PNB,15-01-2007,NO,NO,NO,NO,NO,78,12,9829,358,9829,7089,2594,SRLM,76
Purbi Champaran,CBI,19-12-2011,YES,YES,YES,YES,YES,0,6,8380,663,8380,5771,3745,SRLM,64
Purnia,SBI,30-03-2007,YES,YES,YES,YES,YES,0,10,8283,294,8283,6305,3433,KVIC,51
Rohtas,PNB,27-01-2012,YES,YES,YES,YES,YES,0,9,8398,273,8398,6039,2509,SRLM,88
Saharsa,SBI,27-03-2009,YES,YES,YES,YES,YES,0,7,7744,286,7744,5451,3068,SRLM,43
Samastipur,UBI,01-07-2010,YES,YES,YES,YES,YES,3,26,7665,256,7665,5449,2279,SRLM,45
Saran,CBI,08-02-2011,YES,YES,YES,YES,YES,0,7,6109,527,6109,3890,1477,SRLM,35
Sheikhpura,CAN,19-01-2010,YES,YES,YES,YES,YES,29,10,11581,374,11581,6211,2832,KVICNSKSHGOVT.,82
Sheohar,BOB,31-03-2010,YES,YES,YES,YES,YES,2,11,11732,392,11732,9013,4099,SRLM,90
Sitamarhi,BOB,28-03-2012,YES,YES,YES,YES,NO,220,9,8016,281,8016,5315,2996,SRLM,72
Siwan,CBI,15-03-2011,YES,YES,YES,YES,YES,0,5,6091,609,6091,4990,2632,SRLM,24
Supaul,SBI,25-03-2009,YES,YES,YES,YES,YES,0,8,7858,274,7858,6382,4020,SRLM KVIC,2
Vaishali,CAN,30-01-2008,YES,YES,YES,YES,YES,76,12,14549,493,14549,11280,3338,SRLM JIVIKA,18
