district,export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,out_of_other_priorityabove_loans_upto_50_crore_to_start_ups,amt,total_other_priority_a_c,amt
Araria,0,79.24,45,79.24,108,79.24,2,79.24,0,79.24,11998,79.24,0,79.24,12153,79.24
Arwal,0,7.37,20,7.37,27,7.37,0,7.37,0,7.37,1271,7.37,0,7.37,1318,7.37
Aurangabad,0,36.27,103,36.27,174,36.27,0,36.27,0,36.27,4441,36.27,0,36.27,4718,36.27
Banka,0,45.01,40,45.01,60,45.01,0,45.01,0,45.01,3839,45.01,0,45.01,3939,45.01
Begusarai,0,57.58,113,57.58,199,57.58,0,57.58,0,57.58,6141,57.58,0,57.58,6453,57.58
Bhagalpur,0,96.86,191,96.86,292,96.86,0,96.86,0,96.86,10186,96.86,0,96.86,10669,96.86
Bhojpur,0,37.25,106,37.25,306,37.25,1,37.25,0,37.25,4194,37.25,0,37.25,4607,37.25
Buxar,0,23.04,68,23.04,168,23.04,0,23.04,0,23.04,3058,23.04,0,23.04,3294,23.04
Darbhanga,0,47.31,165,47.31,174,47.31,1,47.31,0,47.31,6358,47.31,0,47.31,6698,47.31
Gaya,0,61.08,325,61.08,349,61.08,35,61.08,0,61.08,7460,61.08,0,61.08,8169,61.08
Gopalganj,0,33.93,47,33.93,103,33.93,0,33.93,1,33.93,5058,33.93,0,33.93,5209,33.93
Jamui,0,41.03,24,41.03,62,41.03,1,41.03,0,41.03,5817,41.03,0,41.03,5904,41.03
Jehanabad,0,11.21,59,11.21,125,11.21,0,11.21,0,11.21,797,11.21,0,11.21,981,11.21
Kaimur (Bhabua),0,24.99,36,24.99,106,24.99,0,24.99,0,24.99,4087,24.99,0,24.99,4229,24.99
Katihar,0,67.19,55,67.19,175,67.19,0,67.19,0,67.19,9457,67.19,0,67.19,9687,67.19
Khagaria,0,16.96,20,16.96,32,16.96,4,16.96,0,16.96,2316,16.96,0,16.96,2372,16.96
Kishanganj,0,63.81,42,63.81,55,63.81,0,63.81,0,63.81,9381,63.81,0,63.81,9478,63.81
Lakhisarai,0,17.49,32,17.49,48,17.49,0,17.49,0,17.49,2750,17.49,0,17.49,2830,17.49
Madhepura,0,24.81,26,24.81,30,24.81,0,24.81,0,24.81,3891,24.81,0,24.81,3947,24.81
Madhubani,0,35.6,101,35.6,123,35.6,0,35.6,0,35.6,5401,35.6,0,35.6,5625,35.6
Munger,0,32.02,49,32.02,99,32.02,0,32.02,0,32.02,4149,32.02,0,32.02,4297,32.02
Muzaffarpur,0,107.12,285,107.12,412,107.12,1,107.12,0,107.12,14245,107.12,1,107.12,14943,107.12
Nalanda,0,42.79,115,42.79,160,42.79,3,42.79,0,42.79,6435,42.79,0,42.79,6713,42.79
Nawada,0,40.38,56,40.38,193,40.38,0,40.38,0,40.38,5810,40.38,0,40.38,6059,40.38
Pashchim Champaran,0,40.33,83,40.33,92,40.33,1,40.33,0,40.33,6080,40.33,0,40.33,6256,40.33
Patna,0,267.7,1338,267.7,2555,267.7,79,267.7,1,267.7,19783,267.7,0,267.7,23756,267.7
Purbi Champaran,0,83.81,146,83.81,182,83.81,0,83.81,0,83.81,14160,83.81,0,83.81,14488,83.81
Purnia,0,59.87,108,59.87,291,59.87,2,59.87,1,59.87,7363,59.87,1,59.87,7765,59.87
Rohtas,0,50,123,50,227,50,0,50,1,50,6342,50,1,50,6693,50
Saharsa,0,20.61,49,20.61,48,20.61,1,20.61,0,20.61,2622,20.61,0,20.61,2720,20.61
Samastipur,0,54.36,147,54.36,240,54.36,0,54.36,0,54.36,6433,54.36,0,54.36,6820,54.36
Saran,0,79.84,116,79.84,119,79.84,0,79.84,0,79.84,12026,79.84,0,79.84,12261,79.84
Sheikhpura,0,9.06,14,9.06,29,9.06,0,9.06,0,9.06,1298,9.06,0,9.06,1341,9.06
Sheohar,0,3.2,10,3.2,20,3.2,0,3.2,1,3.2,347,3.2,0,3.2,378,3.2
Sitamarhi,0,32.3,78,32.3,144,32.3,0,32.3,0,32.3,3973,32.3,0,32.3,4195,32.3
Siwan,0,66.88,58,66.88,143,66.88,54,66.88,0,66.88,9926,66.88,0,66.88,10181,66.88
Supaul,0,20.28,31,20.28,38,20.28,0,20.28,0,20.28,3347,20.28,0,20.28,3416,20.28
Vaishali,0,86.47,119,86.47,239,86.47,1,86.47,0,86.47,12204,86.47,1,86.47,12563,86.47
