District,No of cases pending 30.06.2024 No.,Amt.
Araria,6834,59
Arwal,2728,42
Aurangabad,7269,94
Banka,28080,329
Begusarai,13226,172
Bhagalpur,30221,372
Bhojpur,9721,148
Buxar,6261,115
Darbhanga,2623,30
Gaya,5756,64
Gopalganj,6741,76
Jamui,5327,69
Jehanabad,3649,51
Kaimur (Bhabua),15045,174
Katihar,10992,106
Khagaria,7181,97
Kishanganj,9001,84
Lakhisarai,5725,81
Madhepura,7463,76
Madhubani,4067,43
Munger,9617,101
Muzaffarpur,18522,172
Nalanda,11326,132
Nawada,6283,97
Pashchim Champaran,16031,112
Patna,6860,145
Purbi Champaran,16805,168
Purnia,11692,100
Rohtas,13547,237
Saharsa,5794,65
Samastipur,13687,133
Saran,8681,107
Sheikhpura,4623,48
Sheohar,7426,43
Sitamarhi,6774,48
Siwan,5809,63
Supaul,5504,61
Vaishali,5205,48
