District,KCC NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,KCC RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL KCC (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,22033,330.38,245,6.48,1.11,1.96,40370,605.43,10034,89.70,24.86,14.82,62403,935.81,10279,96.18,16.47,10.28
Arwal,11941,179.03,48,0.38,0.40,0.21,14248,213.65,173,2.02,1.21,0.95,26189,392.68,221,2.40,0.84,0.61
Aurangabad,83834,1257.43,459,4.50,0.55,0.36,109887,1648.25,2431,25.48,2.21,1.55,193721,2905.68,2890,29.98,1.49,1.03
Banka,16274,243.99,550,3.89,3.38,1.59,39034,585.42,1539,12.08,3.94,2.06,55308,829.41,2089,15.97,3.78,1.93
Begusarai,43112,646.59,764,7.72,1.77,1.19,81591,1223.76,8883,63.64,10.89,5.20,124703,1870.35,9647,71.36,7.74,3.82
Bhagalpur,46438,696.47,1088,11.91,2.34,1.71,109299,1639.43,3289,33.68,3.01,2.05,155737,2335.9,4377,45.59,2.81,1.95
Bhojpur,60091,901.28,411,3.44,0.68,0.38,79048,1185.65,1413,11.04,1.79,0.93,139139,2086.93,1824,14.48,1.31,0.69
Buxar,54735,820.95,281,2.91,0.51,0.35,88249,1323.64,1616,17.94,1.83,1.36,142984,2144.59,1897,20.85,1.33,0.97
Darbhanga,40406,605.98,82,1.79,0.20,0.30,60881,913.13,9377,56.00,15.40,6.13,101287,1519.11,9459,57.79,9.34,3.80
Gaya,57525,862.77,527,5.02,0.92,0.58,64742,971.05,3942,31.43,6.09,3.24,122267,1833.82,4469,36.45,3.66,1.99
Gopalganj,56179,842.58,99,2.23,0.18,0.26,127979,1919.61,7901,61.19,6.17,3.19,184158,2762.19,8000,63.42,4.34,2.30
Jamui,26509,397.55,500,3.02,1.89,0.76,36941,554.03,1454,8.82,3.94,1.59,63450,951.58,1954,11.84,3.08,1.24
Jehanabad,23108,346.56,114,1.55,0.49,0.45,25322,379.78,486,8.24,1.92,2.17,48430,726.34,600,9.79,1.24,1.35
Kaimur (Bhabua),51077,766.11,221,5.37,0.43,0.70,68784,1031.67,2332,44.22,3.39,4.29,119861,1797.78,2553,49.59,2.13,2.76
Katihar,30124,451.76,295,6.37,0.98,1.41,49818,747.2,6388,63.16,12.82,8.45,79942,1198.96,6683,69.53,8.36,5.80
Khagaria,33472,501.98,330,5.54,0.99,1.10,57485,862.18,4585,31.78,7.98,3.69,90957,1364.16,4915,37.32,5.40,2.74
Kishanganj,13826,207.31,209,1.64,1.51,0.79,23044,345.57,7154,54.02,31.04,15.63,36870,552.88,7363,55.66,19.97,10.07
Lakhisarai,23772,356.54,246,1.56,1.03,0.44,29695,445.33,753,7.77,2.54,1.74,53467,801.87,999,9.33,1.87,1.16
Madhepura,33982,509.69,103,2.81,0.30,0.55,41280,619.12,5771,43.12,13.98,6.96,75262,1128.81,5874,45.93,7.80,4.07
Madhubani,47559,713.29,146,3.20,0.31,0.45,92784,1391.64,12500,76.82,13.47,5.52,140343,2104.93,12646,80.02,9.01,3.80
Munger,13724,205.8,332,2.20,2.42,1.07,22904,343.5,394,5.55,1.72,1.62,36628,549.3,726,7.75,1.98,1.41
Muzaffarpur,59487,892.23,595,18.94,1.00,2.12,115770,1736.46,16374,120.57,14.14,6.94,175257,2628.69,16969,139.51,9.68,5.31
Nalanda,47303,709.47,226,6.31,0.48,0.89,60810,912.07,1611,16.98,2.65,1.86,108113,1621.54,1837,23.29,1.70,1.44
Nawada,34329,514.85,610,5.12,1.78,0.99,49507,742.56,1528,13.87,3.09,1.87,83836,1257.41,2138,18.99,2.55,1.51
Pashchim Champaran,36632,549.38,1412,11.20,3.85,2.04,56380,845.61,15634,124.39,27.73,14.71,93012,1394.99,17046,135.59,18.33,9.72
Patna,86569,1298.4,477,8.88,0.55,0.68,163105,2446.44,2340,41.34,1.43,1.69,249674,3744.84,2817,50.22,1.13,1.34
Purbi Champaran,77433,1161.4,210,5.73,0.27,0.49,112645,1689.61,20465,160.56,18.17,9.50,190078,2851.01,20675,166.29,10.88,5.83
Purnia,39829,597.41,616,12.10,1.55,2.03,65776,986.56,10902,114.64,16.57,11.62,105605,1583.97,11518,126.74,10.91,8.00
Rohtas,61787,926.73,541,8.77,0.88,0.95,74148,1112.14,2664,46.45,3.59,4.18,135935,2038.87,3205,55.22,2.36,2.71
Saharsa,38197,572.93,100,2.60,0.26,0.45,46449,696.7,5544,48.56,11.94,6.97,84646,1269.63,5644,51.16,6.67,4.03
Samastipur,62798,941.85,1199,16.12,1.91,1.71,77310,1159.58,9668,71.30,12.51,6.15,140108,2101.43,10867,87.42,7.76,4.16
Saran,57276,859.03,211,5.24,0.37,0.61,75610,1134.06,6374,51.75,8.43,4.56,132886,1993.09,6585,56.99,4.96,2.86
Sheikhpura,10958,164.35,188,3.26,1.72,1.98,14134,211.92,561,6.71,3.97,3.17,25092,376.27,749,9.97,2.99,2.65
Sheohar,6384,95.65,53,2.54,0.83,2.66,18057,270.74,2620,21.69,14.51,8.01,24441,366.39,2673,24.23,10.94,6.61
Sitamarhi,25470,381.89,170,4.03,0.67,1.06,66890,1003.23,9539,67.31,14.26,6.71,92360,1385.12,9709,71.34,10.51,5.15
