district,sc_disbursement_during_quarter_no,amt,outstanding_at_the_end_of_quarter_no,amt,st_disbursement_during_quarter_no,amt,outstanding_at_the_end_of_quarter_no,amt
Araria,2795,23.04,10755,23.04,7195,23.04,10755,23.04
Arwal,498,3.36,412,3.36,82,3.36,412,3.36
Aurangabad,4125,20.13,3206,20.13,615,20.13,3206,20.13
Banka,1341,26.83,3268,26.83,331,26.83,3268,26.83
Begusarai,4156,24.99,4280,24.99,548,24.99,4280,24.99
Bhagalpur,2558,74.93,4743,74.93,688,74.93,4743,74.93
Bhojpur,8460,61.36,22083,61.36,3020,61.36,22083,61.36
Buxar,1474,14.98,2510,14.98,278,14.98,2510,14.98
Darbhanga,9841,69.41,47763,69.41,46721,69.41,47763,69.41
Gaya,27760,239.17,60227,239.17,7967,239.17,60227,239.17
Gopalganj,5122,37.54,23990,37.54,17391,37.54,23990,37.54
Jamui,2600,25.84,3117,25.84,377,25.84,3117,25.84
Jehanabad,659,33.59,2087,33.59,106,33.59,2087,33.59
Kaimur (Bhabua),2935,15.17,1957,15.17,531,15.17,1957,15.17
Katihar,5682,64.48,12269,64.48,8801,64.48,12269,64.48
Khagaria,1087,10.28,877,10.28,156,10.28,877,10.28
Kishanganj,3081,23.53,6682,23.53,4222,23.53,6682,23.53
Lakhisarai,1131,6.25,849,6.25,119,6.25,849,6.25
Madhepura,2338,14.01,15617,14.01,12676,14.01,15617,14.01
Madhubani,7567,31.07,58765,31.07,67544,31.07,58765,31.07
Munger,1096,21.77,1253,21.77,135,21.77,1253,21.77
Muzaffarpur,12121,64.90,46205,64.90,39310,64.90,46205,64.90
Nalanda,3182,18.79,2845,18.79,235,18.79,2845,18.79
Nawada,2595,15.31,2388,15.31,268,15.31,2388,15.31
Pashchim Champaran,29372,59.24,23083,59.24,18242,59.24,23083,59.24
Patna,52486,291.84,87794,291.84,13073,291.84,87794,291.84
Purbi Champaran,8333,72.36,29923,72.36,17455,72.36,29923,72.36
Purnia,6585,73.09,22853,73.09,12660,73.09,22853,73.09
Rohtas,3462,23.10,2857,23.10,507,23.10,2857,23.10
Saharsa,2174,22.73,12918,22.73,9439,22.73,12918,22.73
Samastipur,4908,64.98,9363,64.98,803,64.98,9363,64.98
Saran,10673,63.78,25981,63.78,20226,63.78,25981,63.78
Sheikhpura,559,6.31,839,6.31,60,6.31,839,6.31
Sheohar,427,3.29,6586,3.29,4871,3.29,6586,3.29
Sitamarhi,2100,14.59,9809,14.59,8674,14.59,9809,14.59
Siwan,32176,217.18,103258,217.18,32492,217.18,103258,217.18
Supaul,2057,22.26,20137,22.26,18981,22.26,20137,22.26
Vaishali,71576,440.72,209716,440.72,50272,440.72,209716,440.72
