District,KCC - FISHERIES NEW TARGET NO.,AMT,Disbursed No.,% Achievement No.,KCC - FISHERIES RENEW TARGET NO.,TOTAL FISHERIES - AH (NEW+RENEW) TARGET NO.
Araria,1512,7.56,1,0.07,46,1558
Arwal,798,3.99,0,0.00,24,822
Aurangabad,2630,13.15,1,0.04,82,2712
Banka,746,3.73,0,0.00,24,770
Begusarai,3950,19.75,0,0.00,122,4072
Bhagalpur,1144,5.72,7,0.61,36,1180
Bhojpur,2088,10.44,1,0.05,64,2152
Buxar,1144,5.72,0,0.00,36,1180
Darbhanga,1884,9.42,0,0.00,58,1942
Gaya,2860,14.3,0,0.00,88,2948
Gopalganj,2052,10.26,0,0.00,64,2116
Jamui,614,3.07,0,0.00,20,634
Jehanabad,618,3.09,2,0.32,20,638
Kaimur (Bhabua),1948,9.74,0,0.00,60,2008
Katihar,4106,20.53,0,0.00,126,4232
Khagaria,1524,7.62,0,0.00,48,1572
Kishanganj,646,3.23,1,0.15,20,666
Lakhisarai,708,3.54,0,0.00,22,730
Madhepura,936,4.68,0,0.00,28,964
Madhubani,3404,17.02,19,0.56,106,3510
Munger,1282,6.41,0,0.00,40,1322
Muzaffarpur,3432,17.16,7,0.20,106,3538
Nalanda,2212,11.06,1,0.05,68,2280
Nawada,576,2.88,0,0.00,18,594
Patna,1608,8.04,2,0.12,50,1658
Purbi Champaran,2652,13.26,1,0.04,82,2734
Purnia,2600,13,0,0.00,80,2680
Rohtas,2108,10.54,0,0.00,66,2174
Saharsa,472,2.36,0,0.00,14,486
Samastipur,4698,23.49,0,0.00,146,4844
Saran,5290,26.45,0,0.00,164,5454
Sheikhpura,782,3.91,0,0.00,24,806
Sheohar,754,3.77,1,0.13,24,778
Sitamarhi,2180,10.9,1,0.05,68,2248
Siwan,6088,30.44,3,0.05,188,6276
Supaul,658,3.29,1,0.15,20,678
Vaishali,6118,30.59,1,0.02,190,6308
