District,KCC - AH NEW TARGET NO.,AMT,Disbursed No.,% Achievement No.,KCC - AH RENEW TARGET NO.,TOTAL KCC - AH (NEW+RENEW) TARGET NO.
Araria,4346,34.68,233,5.36,287,4633
Arwal,1889,15.08,6,0.32,128,2017
Aurangabad,1574,12.54,6,0.38,107,1681
Banka,2432,19.4,47,1.93,165,2597
Begusarai,8362,66.85,105,1.26,542,8904
Bhagalpur,6290,50.26,91,1.45,407,6697
Bhojpur,5472,43.71,36,0.66,356,5828
Buxar,4251,33.96,2,0.05,280,4531
Darbhanga,4678,37.36,52,1.11,306,4984
Gaya,8500,67.94,19,0.22,550,9050
Gopalganj,3510,28.02,146,4.16,233,3743
Jamui,2819,22.51,35,1.24,189,3008
Jehanabad,2506,20.02,17,0.68,163,2669
Kaimur (Bhabua),3096,24.76,18,0.58,203,3299
Katihar,5908,47.24,78,1.32,384,6292
Khagaria,3418,27.3,225,6.58,228,3646
Kishanganj,3555,28.39,39,1.10,232,3787
Lakhisarai,3374,26.96,58,1.72,221,3595
Madhepura,2366,18.86,83,3.51,160,2526
Madhubani,6656,53.16,25,0.38,433,7089
Munger,4571,36.53,57,1.25,297,4868
Muzaffarpur,11993,95.87,150,1.25,771,12764
Nalanda,5713,45.65,108,1.89,369,6082
Nawada,3013,24.04,10,0.33,200,3213
Pashchim Champaran,5865,46.87,257,4.38,380,6245
Patna,18523,148.12,136,0.73,1192,19715
Purbi Champaran,3941,31.49,829,21.04,259,4200
Purnia,4470,35.73,35,0.78,292,4762
Rohtas,3748,29.97,17,0.45,247,3995
Saharsa,1469,11.71,95,6.47,99,1568
Samastipur,6698,53.51,364,5.43,439,7137
Saran,8906,71.2,56,0.63,572,9478
Sheikhpura,1525,12.15,27,1.77,108,1633
Sheohar,1265,10.07,188,14.86,91,1356
Sitamarhi,4006,31.99,62,1.55,264,4270
Siwan,5017,40.09,23,0.46,330,5347
Supaul,1998,15.9,5,0.25,138,2136
Vaishali,4918,39.29,47,0.96,324,5242
