District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch
Araria,87,80,2,169
Arwal,41,22,1,64
Aurangabad,120,50,33,203
Banka,77,48,1,126
Begusarai,87,100,48,235
Bhagalpur,101,98,94,293
Bhojpur,122,64,55,241
Buxar,85,42,31,158
Darbhanga,117,63,76,256
Gaya,186,43,94,323
Gopalganj,126,68,1,195
Jamui,72,53,1,126
Jehanabad,59,10,31,100
Kaimur (Bhabua),88,37,1,126
Katihar,106,39,45,190
Khagaria,40,77,1,118
Kishanganj,64,20,28,112
Lakhisarai,42,44,1,87
Madhepura,42,82,5,129
Madhubani,124,157,4,285
Munger,59,30,51,140
Muzaffarpur,181,96,125,402
Nalanda,146,65,48,259
Nawada,77,81,3,161
Pashchim Champaran,104,78,50,232
Patna,201,205,579,985
Purbi Champaran,109,151,52,312
Purnia,96,65,77,238
Rohtas,131,61,56,248
Saharsa,49,26,33,108
Samastipur,171,131,4,306
Saran,167,59,47,273
Sheikhpura,30,33,1,64
Sheohar,21,26,1,48
Sitamarhi,57,114,5,176
Siwan,142,62,53,257
Supaul,49,77,1,127
Vaishali,140,74,50,264
