district,received,accepted,sanctioned,sanctioned,total_rejected_r_eturned,rejected_r_eturned,pendency_more_than_15_days
Araria,6956,6296,22.13,22.13,4669,74.16,234
Arwal,1172,1172,28.41,28.41,781,66.64,58
Aurangabad,2542,2421,49.03,49.03,1216,50.23,18
Banka,6592,6592,28.34,28.34,4718,71.57,6
Begusarai,6547,5397,34.46,34.46,3438,63.70,99
Bhagalpur,7683,7683,27.22,27.22,5373,69.93,219
Bhojpur,4738,4727,22.53,22.53,3600,76.16,62
Buxar,6083,6081,25.28,25.28,4507,74.12,37
Darbhanga,6474,6474,28.44,28.44,4509,69.65,124
Gaya,9737,8527,27.43,27.43,6110,71.65,78
Gopalganj,3444,3444,36.99,36.99,1978,57.43,192
Jamui,4331,4221,18.41,18.41,3196,75.72,248
Jehanabad,4462,4456,39.99,39.99,2674,60.01,0
Kaimur (Bhabua),3220,3220,30.78,30.78,2222,69.01,7
Katihar,6237,6237,22.17,22.17,4659,74.70,195
Khagaria,4862,4862,20.49,20.49,3756,77.25,110
Kishanganj,5347,5347,23.00,23.00,4117,77.00,0
Lakhisarai,4474,4474,37.42,37.42,2759,61.67,41
Madhepura,5883,5883,37.36,37.36,3186,54.16,499
Madhubani,13086,13057,11.18,11.18,11535,88.34,62
Munger,4420,4420,16.43,16.43,3520,79.64,174
Muzaffarpur,13339,13339,25.38,25.38,9953,74.62,0
Nalanda,1627,1627,45.24,45.24,578,35.53,313
Nawada,6541,6488,28.24,28.24,4579,70.58,77
Pashchim Champaran,3301,3301,29.26,29.26,2271,68.80,64
Patna,6544,6534,23.29,23.29,4536,69.42,476
Purbi Champaran,4825,4801,18.95,18.95,3733,77.75,158
Purnia,7034,7010,22.24,22.24,5302,75.63,149
Rohtas,8930,8930,14.80,14.80,7411,82.99,197
Saharsa,6595,6595,31.28,31.28,4532,68.72,0
Samastipur,8743,7495,40.80,40.80,4248,56.68,189
Saran,3747,3747,17.88,17.88,3022,80.65,53
Sheikhpura,1962,1868,25.37,25.37,1348,72.16,46
Sheohar,2544,2510,33.86,33.86,1482,59.04,157
Sitamarhi,9547,9480,35.70,35.70,6096,64.30,0
Siwan,1976,1929,25.04,25.04,1446,74.96,0
Supaul,1639,1637,27.00,27.00,1173,71.66,22
Vaishali,7404,7404,30.51,30.51,5080,68.61,65
