district,kcc_ah_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_ah_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,4346,1.18,375,1.18,8.09,1.18,287,1.18,375,1.18,8.09,1.18,4633,1.18,375,1.18,8.09,1.18
Arwal,1889,0.14,22,0.14,1.09,0.14,128,0.14,22,0.14,1.09,0.14,2017,0.14,22,0.14,1.09,0.14
Aurangabad,1574,0.77,70,0.77,4.16,0.77,107,0.77,70,0.77,4.16,0.77,1681,0.77,70,0.77,4.16,0.77
Banka,2432,2.08,402,2.08,15.48,2.08,165,2.08,402,2.08,15.48,2.08,2597,2.08,402,2.08,15.48,2.08
Begusarai,8362,1.71,453,1.71,5.09,1.71,542,1.71,453,1.71,5.09,1.71,8904,1.71,453,1.71,5.09,1.71
Bhagalpur,6290,1.34,488,1.34,7.29,1.34,407,1.34,488,1.34,7.29,1.34,6697,1.34,488,1.34,7.29,1.34
Bhojpur,5472,0.33,91,0.33,1.56,0.33,356,0.33,91,0.33,1.56,0.33,5828,0.33,91,0.33,1.56,0.33
Buxar,4251,0.14,86,0.14,1.90,0.14,280,0.14,86,0.14,1.90,0.14,4531,0.14,86,0.14,1.90,0.14
Darbhanga,4678,1.11,473,1.11,9.49,1.11,306,1.11,473,1.11,9.49,1.11,4984,1.11,473,1.11,9.49,1.11
Gaya,8500,0.27,219,0.27,2.42,0.27,550,0.27,219,0.27,2.42,0.27,9050,0.27,219,0.27,2.42,0.27
Gopalganj,3510,1.58,202,1.58,5.40,1.58,233,1.58,202,1.58,5.40,1.58,3743,1.58,202,1.58,5.40,1.58
Jamui,2819,0.80,473,0.80,15.72,0.80,189,0.80,473,0.80,15.72,0.80,3008,0.80,473,0.80,15.72,0.80
Jehanabad,2506,0.43,132,0.43,4.95,0.43,163,0.43,132,0.43,4.95,0.43,2669,0.43,132,0.43,4.95,0.43
Kaimur (Bhabua),3096,0.53,73,0.53,2.21,0.53,203,0.53,73,0.53,2.21,0.53,3299,0.53,73,0.53,2.21,0.53
Katihar,5908,0.45,193,0.45,3.07,0.45,384,0.45,193,0.45,3.07,0.45,6292,0.45,193,0.45,3.07,0.45
Khagaria,3418,3.03,441,3.03,12.10,3.03,228,3.03,441,3.03,12.10,3.03,3646,3.03,441,3.03,12.10,3.03
Kishanganj,3555,0.49,234,0.49,6.18,0.49,232,0.49,234,0.49,6.18,0.49,3787,0.49,234,0.49,6.18,0.49
Lakhisarai,3374,1.78,237,1.78,6.59,1.78,221,1.78,237,1.78,6.59,1.78,3595,1.78,237,1.78,6.59,1.78
Madhepura,2366,0.77,160,0.77,6.33,0.77,160,0.77,160,0.77,6.33,0.77,2526,0.77,160,0.77,6.33,0.77
Madhubani,6656,0.21,118,0.21,1.66,0.21,433,0.21,118,0.21,1.66,0.21,7089,0.21,118,0.21,1.66,0.21
Munger,4571,1.02,156,1.02,3.20,1.02,297,1.02,156,1.02,3.20,1.02,4868,1.02,156,1.02,3.20,1.02
Muzaffarpur,11993,1.77,558,1.77,4.37,1.77,771,1.77,558,1.77,4.37,1.77,12764,1.77,558,1.77,4.37,1.77
Nalanda,5713,0.73,197,0.73,3.24,0.73,369,0.73,197,0.73,3.24,0.73,6082,0.73,197,0.73,3.24,0.73
Nawada,3013,0.16,54,0.16,1.68,0.16,200,0.16,54,0.16,1.68,0.16,3213,0.16,54,0.16,1.68,0.16
Pashchim Champaran,5865,1.65,537,1.65,8.60,1.65,380,1.65,537,1.65,8.60,1.65,6245,1.65,537,1.65,8.60,1.65
Patna,18523,0.47,242,0.47,1.23,0.47,1192,0.47,242,0.47,1.23,0.47,19715,0.47,242,0.47,1.23,0.47
Purbi Champaran,3941,5.75,954,5.75,22.71,5.75,259,5.75,954,5.75,22.71,5.75,4200,5.75,954,5.75,22.71,5.75
Purnia,4470,0.38,177,0.38,3.72,0.38,292,0.38,177,0.38,3.72,0.38,4762,0.38,177,0.38,3.72,0.38
Rohtas,3748,0.25,75,0.25,1.88,0.25,247,0.25,75,0.25,1.88,0.25,3995,0.25,75,0.25,1.88,0.25
Saharsa,1469,2.64,298,2.64,19.01,2.64,99,2.64,298,2.64,19.01,2.64,1568,2.64,298,2.64,19.01,2.64
Samastipur,6698,2.99,815,2.99,11.42,2.99,439,2.99,815,2.99,11.42,2.99,7137,2.99,815,2.99,11.42,2.99
Saran,8906,0.28,138,0.28,1.46,0.28,572,0.28,138,0.28,1.46,0.28,9478,0.28,138,0.28,1.46,0.28
Sheikhpura,1525,0.95,127,0.95,7.78,0.95,108,0.95,127,0.95,7.78,0.95,1633,0.95,127,0.95,7.78,0.95
Sheohar,1265,3.39,213,3.39,15.71,3.39,91,3.39,213,3.39,15.71,3.39,1356,3.39,213,3.39,15.71,3.39
Sitamarhi,4006,0.84,180,0.84,4.22,0.84,264,0.84,180,0.84,4.22,0.84,4270,0.84,180,0.84,4.22,0.84
Siwan,5017,0.26,98,0.26,1.83,0.26,330,0.26,98,0.26,1.83,0.26,5347,0.26,98,0.26,1.83,0.26
Supaul,1998,0.37,27,0.37,1.26,0.37,138,0.37,27,0.37,1.26,0.37,2136,0.37,27,0.37,1.26,0.37
Vaishali,4918,1.47,169,1.47,3.22,1.47,324,1.47,169,1.47,3.22,1.47,5242,1.47,169,1.47,3.22,1.47
