district,msme_medium_target,msme_medium_disbursed_no,msme_medium_disbursed_amt,msme_medium_pct
Araria,237595,1670.43,36174,301.57
Arwal,24216,172.84,3513,28.25
Aurangabad,115377,826.26,16868,137.69
Banka,100330,583.04,15340,104.98
Begusarai,300729,2044.88,41894,359.15
Bhagalpur,227618,2008.79,35359,351.21
Bhojpur,139002,895.11,18138,146.36
Buxar,84455,590.73,12808,108.14
Darbhanga,403990,2515.27,58223,422.42
Gaya,301907,2174.64,37462,336.22
Gopalganj,210578,1311.55,27364,209.38
Jamui,78608,529.58,12682,105.82
Jehanabad,34539,344.79,4781,50.29
Kaimur (Bhabua),68772,474.86,11810,91.73
Katihar,312196,1942.71,48688,348.21
Khagaria,104602,715.5,14745,133.85
Kishanganj,145541,1002.55,24695,199.57
Lakhisarai,51281,376.59,7856,69.87
Madhepura,172310,1043.46,21086,154.84
Madhubani,254148,1958.36,36340,295.84
Munger,71297,578.49,10736,101.45
Muzaffarpur,605702,4183.69,77196,625.04
Nalanda,127436,1019.34,18140,164.76
Nawada,91507,755.64,15293,133.74
Pashchim Champaran,235502,1655.36,30928,251.1
Patna,1372267,12072.67,182808,1681.46
Purbi Champaran,411148,2680.33,67483,486.45
Purnia,314137,2091.77,39063,334.4
Rohtas,125300,991.18,18953,159.52
Saharsa,118308,964.28,17185,142.98
Samastipur,273292,1886.77,37526,333.94
Saran,344903,2129.2,55779,407.13
Sheikhpura,29819,246.51,4297,39.74
Sheohar,25664,199.34,2975,27.57
Sitamarhi,146880,1277.72,20668,187.09
Siwan,290091,1837.06,41736,320.12
Supaul,82759,780.4,13186,120.4
Vaishali,221509,1825.08,35388,310.44
