district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,4,0.02,4,0.46,97,11.59,743,27.54,15903,336.86,16751,376.47
Arwal,7,0.29,1,0.00,25,2.88,247,10.62,2648,51.96,2928,65.75
Aurangabad,9,0.12,1,0.25,133,13.19,779,35.20,6739,194.68,7661,243.44
Banka,3,0.09,1,0.02,54,4.44,447,17.32,4988,126.99,5493,148.86
Begusarai,26,16.62,9,0.73,343,39.20,1783,69.95,19409,418.61,21570,545.11
Bhagalpur,6,9.89,19,1.76,565,73.84,1492,70.37,20512,572.03,22594,727.89
Bhojpur,4,0.07,4,0.37,268,31.06,1032,43.46,12882,282.67,14190,357.63
Buxar,24,0.83,5,0.40,126,10.94,651,31.45,6296,137.44,7102,181.06
Darbhanga,4,0.04,11,1.23,379,41.99,1724,75.62,23939,394.60,26057,513.48
Gaya,8,0.16,120,2.23,612,70.70,1937,87.72,28121,582.39,30798,743.20
Gopalganj,12,1.10,4,0.24,106,13.70,1066,42.69,11762,239.74,12950,297.47
Jamui,1,0.35,0,0.00,54,6.31,364,28.54,6104,147.33,6523,182.53
Jehanabad,1,0.00,1,0.01,91,8.49,474,21.54,5728,93.30,6295,123.34
Kaimur (Bhabua),6,3.03,3,0.46,78,8.61,418,19.81,4032,115.05,4537,146.96
Katihar,131,0.64,4,0.15,250,24.69,1006,47.83,14276,331.36,15667,404.67
Khagaria,12,0.11,2,0.03,51,8.83,583,24.73,6594,131.20,7242,164.90
Kishanganj,5,0.55,3,0.26,70,5.52,473,15.21,8905,201.43,9456,222.97
Lakhisarai,1,0.05,2,0.05,41,6.23,321,13.62,3928,90.18,4293,110.13
Madhepura,6,0.59,0,0.00,77,6.95,432,20.49,7185,158.05,7700,186.08
Madhubani,24,0.21,6,0.58,195,18.90,1223,51.50,18305,285.14,19753,356.33
Munger,2,0.02,2,0.06,69,9.80,797,42.14,7155,168.23,8025,220.25
Muzaffarpur,24,2.51,30,2.45,708,83.47,3000,125.28,41317,1193.91,45079,1407.62
Nalanda,9,0.18,8,0.72,269,31.07,1002,47.13,15906,287.59,17194,366.69
Nawada,3,0.03,2,0.22,134,13.71,573,25.81,9654,151.84,10366,191.61
Pashchim Champaran,13,1.27,10,1.33,176,13.81,1388,60.22,14644,348.37,16231,425.00
Patna,186,31.58,174,16.62,4522,645.88,9808,516.68,151294,7671.56,165984,8882.32
Purbi Champaran,9,0.36,4,0.55,211,23.72,1927,84.81,27730,590.45,29881,699.89
Purnia,7,0.70,6,0.48,468,49.60,995,49.51,17790,424.77,19266,525.06
Rohtas,8,0.14,3,0.47,177,18.26,928,40.22,10828,278.58,11944,337.67
Saharsa,3,0.01,5,1.10,123,14.75,582,31.99,7501,166.50,8214,214.35
Samastipur,14,0.20,8,0.53,305,29.36,1986,91.27,20249,392.02,22562,513.38
Saran,10,0.19,0,0.12,218,25.65,1468,66.50,20045,357.15,21741,449.61
Sheikhpura,3,0.05,0,0.00,36,6.01,164,7.28,2173,58.01,2376,71.35
Sheohar,3,0.04,0,0.00,20,1.14,237,8.86,1671,32.93,1931,42.97
Sitamarhi,9,0.56,10,0.65,147,13.62,1084,41.60,11553,215.57,12803,272.00
Siwan,6,0.21,4,0.67,181,15.82,1242,50.59,24234,267.15,25667,334.44
Supaul,2,0.03,2,0.28,70,7.46,629,24.62,7913,179.23,8616,211.62
Vaishali,10,0.16,6,0.77,312,35.10,1723,69.50,43249,363.11,45300,468.64
