district,branch,deposits_rural,semi_urban,urban,total,advances_rural,semi_urban,urban,total,cd_ratio
Araria,169,1452.86,3092.16,443.58,5150.02,1614.28,3092.16,443.58,5150.02,88.52
Arwal,64,1725.09,263.69,134.95,1012.12,613.48,263.69,134.95,1012.12,45.70
Aurangabad,203,3515.13,1061.80,3045.86,5761.75,1654.09,1061.80,3045.86,5761.75,62.33
Banka,126,2879.91,1259.25,65.57,2597.14,1272.32,1259.25,65.57,2597.14,51.01
Begusarai,235,2342.50,3110.22,4016.37,8809.30,1682.71,3110.22,4016.37,8809.30,74.14
Bhagalpur,293,3305.49,2724.03,4744.92,9007.98,1539.03,2724.03,4744.92,9007.98,48.47
Bhojpur,241,4156.78,1114.46,2605.69,5461.27,1741.12,1114.46,2605.69,5461.27,41.58
Buxar,158,2315.05,865.07,1429.03,3346.78,1052.68,865.07,1429.03,3346.78,45.06
Darbhanga,256,3537.74,1328.33,4531.93,7988.43,2128.17,1328.33,4531.93,7988.43,51.69
Gaya,323,7577.84,1292.76,6264.82,11551.65,3994.07,1292.76,6264.82,11551.65,54.90
Gopalganj,195,4556.87,2572.04,88.21,4798.75,2138.50,2572.04,88.21,4798.75,48.28
Jamui,126,2464.22,1602.09,38.23,2747.91,1107.59,1602.09,38.23,2747.91,49.41
Jehanabad,100,1676.45,199.72,1066.12,1968.45,702.61,199.72,1066.12,1968.45,43.65
Kaimur (Bhabua),126,2621.77,1303.86,57.14,2855.19,1494.19,1303.86,57.14,2855.19,59.85
Katihar,190,2719.99,1383.87,2714.15,6391.44,2293.42,1383.87,2714.15,6391.44,75.76
Khagaria,118,864.45,2214.47,63.05,2874.87,597.35,2214.47,63.05,2874.87,61.73
Kishanganj,112,1285.41,621.49,1424.30,3297.36,1251.57,621.49,1424.30,3297.36,79.64
Lakhisarai,87,1257.91,1143.89,32.67,1749.23,572.67,1143.89,32.67,1749.23,45.99
Madhepura,129,1082.28,2258.42,128.41,3288.74,901.91,2258.42,128.41,3288.74,71.13
Madhubani,285,3085.28,4238.64,122.71,6163.63,1802.28,4238.64,122.71,6163.63,54.86
Munger,140,2248.81,478.84,1689.57,2954.02,785.61,478.84,1689.57,2954.02,32.46
Muzaffarpur,402,6420.58,2426.65,9694.16,17873.92,5753.11,2426.65,9694.16,17873.92,72.22
Nalanda,259,4762.91,1470.60,2330.13,5680.34,1879.61,1470.60,2330.13,5680.34,41.05
Nawada,161,1887.52,2442.44,57.39,3526.81,1026.98,2442.44,57.39,3526.81,51.96
Pashchim Champaran,232,2066.35,1920.40,2936.97,6784.40,1927.03,1920.40,2936.97,6784.40,81.08
Patna,985,8203.31,5643.14,71654.37,82092.90,4795.39,5643.14,71654.37,82092.90,49.89
Purbi Champaran,312,2977.91,3946.02,3437.46,10232.43,2848.95,3946.02,3437.46,10232.43,80.88
Purnia,238,2309.98,1353.86,5371.51,8943.95,2218.58,1353.86,5371.51,8943.95,92.77
Rohtas,248,4053.44,1332.40,2885.65,6255.27,2037.22,1332.40,2885.65,6255.27,50.02
Saharsa,108,1378.50,599.59,2000.17,3566.37,966.61,599.59,2000.17,3566.37,64.34
Samastipur,306,5004.55,5392.67,244.43,8567.79,2930.69,5392.67,244.43,8567.79,63.64
Saran,273,7001.09,1394.18,2634.69,7114.67,3085.80,1394.18,2634.69,7114.67,44.80
Sheikhpura,64,517.55,963.99,21.79,1249.58,263.80,963.99,21.79,1249.58,49.26
Sheohar,48,385.02,656.52,15.02,957.29,285.75,656.52,15.02,957.29,71.08
Sitamarhi,176,1559.13,3981.83,109.46,4960.85,869.56,3981.83,109.46,4960.85,60.91
Siwan,257,5746.07,1404.95,2662.93,7482.26,3414.38,1404.95,2662.93,7482.26,48.31
Supaul,127,1338.62,2306.27,36.80,3399.64,1056.57,2306.27,36.80,3399.64,66.78
Vaishali,264,4873.85,1797.19,2863.21,10524.36,5863.96,1797.19,2863.21,10524.36,79.73
