district,total_pmjdy,zero_balance_a_c,deposits_held_in_the_a_c,rupay_card_issued,rupay_card_activated,aadhaar_seeded
Araria,1856048,110330,499.29,1328141,380290,1551464
Arwal,394403,27225,162.87,222439,103572,318237
Aurangabad,1543005,113555,581.63,1019249,426673,1274941
Banka,1357007,73510,567.49,581806,191365,1117004
Begusarai,1628501,89472,675.98,847415,253040,1302690
Bhagalpur,1704513,91898,698.99,876359,304618,1418816
Bhojpur,1414419,68652,681.24,788373,323667,1155860
Buxar,1148938,57100,473.14,631934,223343,885752
Darbhanga,1626317,111412,692.07,1257577,429194,1350114
Gaya,2678270,122186,1071.77,1802856,737697,2224740
Gopalganj,1455766,95417,741.5,1065652,405842,1192672
Jamui,1114805,43394,483.9,601812,152630,853920
Jehanabad,535081,30486,225.12,352700,166221,433615
Kaimur (Bhabua),938461,48682,299.9,587526,212812,758476
Katihar,1854407,115496,652.22,1183134,536748,1594174
Khagaria,1068967,46710,356.89,450976,134400,862094
Kishanganj,1222793,67872,321.84,986413,320865,1046902
Lakhisarai,621447,35073,258.6,286392,98734,487033
Madhepura,1089110,52405,360.21,865403,300551,870738
Madhubani,2152085,162650,780.43,1632233,591919,1767628
Munger,616766,34895,308.08,319985,118483,486680
Muzaffarpur,2630038,184162,1067.69,1833401,662526,2238434
Nalanda,1286266,42712,664.9,674011,256758,1032172
Nawada,1337543,48263,506.28,714039,300188,1047636
Pashchim Champaran,2420592,167312,632.82,1863481,673873,2005881
Patna,2572932,195791,1239.66,1630948,606540,2057868
Purbi Champaran,2765043,180476,871.95,2121176,741036,2234414
Purnia,2042581,120788,605.76,1503880,452824,1695124
Rohtas,1532917,84140,617.65,908877,306204,1220329
Saharsa,957231,62148,310.99,769127,241039,771651
Samastipur,2499945,110057,928.17,1584051,589977,2026766
Saran,2506445,164093,1145.98,1900562,683546,1980668
Sheikhpura,337849,10367,154.75,175084,49493,262491
Sheohar,343460,18234,128.76,233383,71731,312007
Sitamarhi,1978185,122538,753.47,1380688,565676,1735894
Siwan,1729291,116378,927.38,1245699,504538,1418562
Supaul,1242123,71067,447.45,1019997,377049,1021760
Vaishali,1814026,128312,783.59,1291010,482028,1481679
