District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,251,6.3,94283,764.16,65,1.36,86,2.28,2,0.15,124,5.31,94811,779.56
Arwal,36,0.36,2753,26.47,10,0.25,24,0.38,0,0,12,0.06,2835,27.52
Aurangabad,123,3.07,11586,123.58,42,0.47,65,5.86,8,0.3,88,0.92,11912,134.2
Banka,98,1.97,12135,93.59,27,0.51,72,0.99,0,0,20,0.12,12352,97.18
Begusarai,178,2.97,41565,294.79,1589,11.52,81,1.66,1,0.04,92,1.45,43506,312.43
Bhagalpur,214,5.94,42228,378.43,614,3.89,101,3.58,1,0,75,7.35,43233,399.19
Bhojpur,165,1.85,41743,173.43,30,0.31,73,2.6,0,0,83,8.07,42094,186.26
Buxar,51,2.93,7560,63.39,28,0.64,49,2.92,0,0,35,0.55,7723,70.43
Darbhanga,308,6.47,41641,429.58,959,7.08,79,6.31,4,0.07,57,2.48,43048,451.99
Gaya,2642,16.37,98374,495.2,11861,31.92,1168,7.73,366,0.92,186,9.24,114597,561.38
Gopalganj,137,1.72,22321,233.84,92,2.67,85,1.77,2,0.09,56,0.41,22693,240.5
Jamui,204,2.94,12850,108.62,64,0.2,75,0.95,1,0.01,43,0.31,13237,113.03
Jehanabad,6,0.15,4730,43.97,5,0.48,11,0.99,0,0,4,0.11,4756,45.7
Kaimur (Bhabua),46,0.79,7930,86.36,10,0.17,22,0.48,0,0,23,0.3,8031,88.1
Katihar,3116,23.35,84821,818.18,66,1.17,251,4.63,2,0.01,46,0.39,88302,847.73
Khagaria,71,1.38,9220,87.2,31,0.5,47,0.59,5,0.08,28,0.37,9402,90.12
Kishanganj,682,8.57,120993,1075.69,72,0.59,53,1.96,0,0,112,3.66,121912,1090.47
Lakhisarai,17,0.2,2958,24.67,4,0.01,28,0.33,5,0.04,13,0.17,3025,25.42
Madhepura,142,2.01,35348,181.81,45,0.39,69,0.31,0,0,51,0.58,35655,185.1
Madhubani,178,3.27,46233,391.98,36,0.54,70,1.67,5,0.06,55,0.86,46577,398.38
Munger,108,1.74,7460,91.79,41,1.16,89,2.03,6,0.03,34,0.6,7738,97.35
Muzaffarpur,798,10.53,105105,687.17,1365,11.02,380,14.01,7,0.08,200,1.65,107855,724.46
Nalanda,185,5.7,14983,129.61,263,2.45,69,3.34,5,0.44,50,0.77,15555,142.31
Nawada,59,1.22,11653,101.02,43,1.82,15,0.23,0,0,47,0.22,11817,104.51
Pashchim Champaran,541,14.62,41856,413.16,110,2.27,179,3.68,3,0,100,1.22,42789,434.95
Patna,1464,55.15,344535,1748.77,2665,36.75,672,55.4,309,1.83,257,10.33,349902,1908.23
Purbi Champaran,354,8.18,79307,622.94,609,51.3,246,2.36,8,0.01,162,1.42,80686,686.21
Purnia,868,10.16,118692,1039.87,500,4.63,141,4.34,5,0.03,135,8.29,120341,1067.32
Rohtas,134,2.75,15216,159.83,84,1.72,324,7.06,14,0.04,42,0.33,15814,171.73
Saharsa,260,3.29,18832,170.98,35,0.25,66,0.99,1,0.01,13,0.1,19207,175.62
Samastipur,341,5.24,29690,278.23,127,2.56,219,3.33,6,0.08,80,0.9,30463,290.34
Saran,227,3.42,22539,220.25,134,1.91,125,2.39,11,0.07,79,1.01,23115,229.05
Sheikhpura,95,2.01,2662,28.45,54,1.07,40,0.59,3,0.05,28,0.38,2882,32.55
Sheohar,17,0.26,4388,40.95,39,0.38,17,0.29,1,0,8,0.24,4470,42.12
Sitamarhi,123,2.63,24951,236.93,120,3.27,253,3.53,0,0,52,0.78,25499,247.14
Siwan,1789,7.99,178404,693.2,268,2.34,113,2.14,6,0.04,69,1.21,180649,706.92
Supaul,347,4.12,15591,177.65,77,0.93,68,1.67,1,0,30,0.91,16114,185.28
Vaishali,800,5.31,387327,972.04,282,6.27,196,2.76,10,0.12,100,1.42,388715,987.92
